"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.044323,0.0096469,0.10084,1.4592,0.12731,48.687,-20,-50,0
10.073,-0.086744,0.021602,0.096941,1.4208,0.12573,48.335,-5.9747,-50,0
10.251,-0.16817,0.046788,0.089874,1.3508,0.1228,46.955,8.0399,-50,0
10.541,-0.23684,0.072446,0.083734,1.2898,0.12018,44.253,22.041,-50,0
10.91,-0.28145,0.09442,0.078477,1.2343,0.11775,40.423,36.029,-50,0
11.309,-0.29867,0.109,0.074915,1.1953,0.116,35.896,50.014,-50,0
11.704,-0.3007,0.11414,0.071038,1.1567,0.11423,31.198,64.003,-50,0
12.097,-0.29683,0.11153,0.067371,1.1155,0.11232,26.529,78.002,-50,0
12.489,-0.27765,0.10551,0.066053,1.0961,0.1114,21.745,92.007,-50,0
12.845,-0.23621,0.097509,0.066018,1.0928,0.11124,17.062,106.01,-50,0
13.126,-0.18124,0.083026,0.066928,1.0991,0.11153,13.091,120.01,-50,0
13.328,-0.12614,0.056585,0.068762,1.1148,0.11226,10.143,134.01,-50,0
13.474,-0.083069,0.026185,0.07147,1.1395,0.11341,8.0706,148,-50,0
13.6,-0.058627,0.00069255,0.074927,1.1725,0.11491,6.5124,162,-50,0
13.733,-0.048869,-0.019998,0.078877,1.2115,0.11667,5.0922,176,-50,0
13.878,-0.045213,-0.03349,0.082935,1.2533,0.11852,3.6058,190,-50,0
14.028,-0.042406,-0.039278,0.0867,1.2935,0.12028,2.0775,204.01,-50,0
14.171,-0.038425,-0.040455,0.08987,1.3289,0.1218,0.63424,218.01,-50,0
14.296,-0.032587,-0.038714,0.092236,1.357,0.12299,-0.59865,232.02,-50,0
14.399,-0.025667,-0.033902,0.093739,1.3769,0.12383,-1.5102,246.03,-50,0
14.476,-0.012024,-0.028466,0.094408,1.3883,0.12431,-2.0595,260.03,-50,0
14.527,0.0055935,-0.02486,0.094371,1.3918,0.12446,-2.226,274.03,-50,0
14.553,0.013315,-0.021488,0.093847,1.3896,0.12436,-2.0234,288.03,-50,0
14.562,0.01118,-0.016412,0.093056,1.3837,0.12412,-1.5522,302.02,-50,0
14.553,0.0082069,-0.0082821,0.092116,1.3755,0.12378,-0.91339,316.01,-50,0
14.543,0.0075923,-0.0031489,0.091604,1.3709,0.12359,-0.56484,330,-50,0
10.017,-0.092263,0.010798,0.10082,1.4588,0.1273,49.576,-20,-35.965,0
10.08,-0.17796,0.024731,0.097017,1.4215,0.12576,49.193,-5.9661,-35.96,0
10.27,-0.3435,0.054254,0.089748,1.3501,0.12277,47.719,8.0532,-35.952,0
10.58,-0.48501,0.084517,0.083327,1.2851,0.11998,44.816,22.052,-35.945,0
10.976,-0.57587,0.11075,0.078236,1.2312,0.11761,40.677,36.034,-35.946,0
11.395,-0.60877,0.12847,0.074088,1.1881,0.11567,35.862,50.009,-35.959,0
11.803,-0.61628,0.13542,0.070124,1.146,0.11374,31.028,63.995,-35.983,0
12.212,-0.61668,0.13531,0.06824,1.1195,0.11251,26.261,77.996,-36.009,0
12.629,-0.58475,0.1328,0.069863,1.1289,0.11293,21.242,92.008,-36.026,0
13.009,-0.50922,0.12632,0.07321,1.1613,0.11438,16.327,106.02,-36.033,0
13.304,-0.40678,0.11,0.077117,1.198,0.116,12.3,120.02,-36.034,0
13.507,-0.29832,0.079453,0.081564,1.2381,0.11774,9.4443,134.01,-36.033,0
13.646,-0.21008,0.041389,0.086054,1.2796,0.11953,7.5512,148,-36.034,0
13.764,-0.1606,0.006785,0.090791,1.3224,0.12136,6.1945,161.99,-36.037,0
13.894,-0.14308,-0.019336,0.096045,1.3705,0.12337,4.9101,175.99,-36.04,0
14.038,-0.13888,-0.034692,0.10189,1.4257,0.12563,3.4714,189.99,-36.043,0
14.186,-0.13548,-0.040745,0.10781,1.483,0.12793,1.9417,204,-36.043,0
14.323,-0.12838,-0.040542,0.11392,1.5414,0.13021,0.48028,218.01,-36.042,0
14.439,-0.11624,-0.034821,0.11936,1.5943,0.13222,-0.7716,232.02,-36.04,0
14.528,-0.10685,-0.024867,0.12418,1.6414,0.13397,-1.6994,246.03,-36.036,0
14.585,-0.092954,-0.01474,0.12775,1.6763,0.13523,-2.3333,260.04,-36.032,0
14.601,-0.067809,-0.0074834,0.12944,1.6935,0.13584,-2.5054,274.04,-36.029,0
14.587,-0.048462,-0.001552,0.13074,1.7057,0.13625,-2.1446,288.03,-36.025,0
14.557,-0.042368,0.0050991,0.13183,1.7138,0.13651,-1.5497,302.02,-36.023,0
14.51,-0.042805,0.015076,0.13278,1.7229,0.13679,-0.91533,316.01,-36.021,0
14.481,-0.043144,0.021576,0.1331,1.728,0.13694,-0.60728,330,-36.02,0
10.02,-0.18645,0.016135,0.10101,1.4609,0.12738,52.417,-20,-21.939,0
10.059,-0.32701,0.027076,0.1204,1.4228,0.11104,51.74,-5.948,-21.928,0
10.244,-0.68155,0.05227,0.12805,1.3161,0.092799,49.729,8.0822,-21.91,0
10.603,-0.97152,0.077096,0.11456,1.2287,0.090085,46.307,22.078,-21.895,0
11.1,-1.1548,0.098324,0.10467,1.162,0.087947,41.16,36.043,-21.893,0
11.604,-1.187,0.11295,0.096675,1.1067,0.086083,35.425,49.996,-21.917,0
12.025,-1.1706,0.11508,0.092617,1.0698,0.084674,30.455,63.973,-21.97,0
12.472,-1.1996,0.11423,0.09561,1.0758,0.084707,25.589,77.983,-22.024,0
12.994,-1.1572,0.11664,0.10841,1.1448,0.086832,19.654,92.011,-22.055,0
13.445,-0.99776,0.11232,0.12725,1.2571,0.090213,14.133,106.03,-22.064,0
13.761,-0.77623,0.096155,0.14385,1.3592,0.093208,10.077,120.03,-22.063,0
13.943,-0.53311,0.062257,0.15518,1.4324,0.095454,7.4196,134.01,-22.062,0
14.022,-0.32691,0.021019,0.16248,1.483,0.097113,6.0491,148,-22.065,0
14.079,-0.21,-0.025438,0.16898,1.5246,0.098492,5.3761,161.99,-22.072,0
14.176,-0.17912,-0.057785,0.17833,1.5787,0.10014,4.5202,175.98,-22.078,0
14.307,-0.17794,-0.070512,0.19163,1.654,0.10228,3.2036,189.99,-22.083,0
14.438,-0.18068,-0.069318,0.20781,1.7439,0.10471,1.6465,204,-22.085,0
14.544,-0.17792,-0.057927,0.22575,1.8421,0.1073,0.12048,218.01,-22.083,0
14.602,-0.17032,-0.035537,0.24264,1.9345,0.10968,-1.1768,232.03,-22.077,0
14.595,-0.16296,-0.0052149,0.25665,2.0139,0.11175,-2.0308,246.04,-22.069,0
14.31,-0.13434,0.054236,0.2706,2.4157,0.14136,-2.5197,260.05,-22.061,0
14.007,-0.11196,0.08551,0.27071,2.7465,0.1693,-3.0369,274.05,-22.055,0
13.876,-0.087209,0.085535,0.26159,2.6967,0.16813,-2.5185,288.04,-22.049,0
13.739,-0.073599,0.085349,0.25304,2.6469,0.16692,-1.6633,302.03,-22.044,0
13.586,-0.071949,0.085645,0.24338,2.591,0.1655,-0.96827,316.02,-22.04,0
13.499,-0.073966,0.086155,0.23623,2.5499,0.16443,-0.70243,330,-22.038,0
10.001,-0.1919,0.013748,0.15211,1.4642,0.097177,56.523,-20,-7.9247,0
10.009,-0.521,0.032643,0.16196,1.3883,0.080371,56.661,-5.9205,-7.9084,0
10.205,-1.2149,0.065694,0.16178,1.2593,0.062318,54.866,8.1214,-7.8844,0
10.697,-1.8805,0.094986,0.14171,1.1522,0.059795,50.142,22.12,-7.8562,0
11.511,-2.2756,0.13254,0.1268,1.0709,0.057793,41.684,36.057,-7.8408,0
12.254,-2.1776,0.1588,0.12919,1.0726,0.057831,32.997,49.966,-7.8699,0
12.578,-2.0257,0.12698,0.15738,1.1987,0.06082,28.944,63.929,-7.9642,0
