"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
13.875,-0.65615,0.20751,0.25671,2.083,0.11411,12.624,246.04,-22.069,0
13.519,-0.50494,0.18181,0.26559,2.4538,0.14286,9.2475,260.05,-22.061,0
13.236,-0.3956,0.15761,0.26036,2.7384,0.1694,6.3935,274.05,-22.055,0
13.075,-0.36726,0.13999,0.24125,2.6193,0.16623,4.5368,288.04,-22.049,0
12.924,-0.35949,0.12045,0.22557,2.5163,0.16339,3.0363,302.03,-22.044,0
12.78,-0.3513,0.10084,0.20822,2.3955,0.15982,1.3995,316.02,-22.04,0
12.702,-0.34543,0.09101,0.19634,2.3118,0.15731,0.50661,330,-22.038,0
10.001,-0.17592,0.01164,0.15205,1.4642,0.09718,76.573,-20,-7.9247,0
10.015,-0.50405,0.028172,0.16181,1.3889,0.080385,76.67,-5.9205,-7.9084,0
10.238,-1.2077,0.059426,0.16224,1.2607,0.062352,74.743,8.1214,-7.8844,0
10.751,-1.8165,0.082472,0.14006,1.1453,0.059625,69.905,22.12,-7.8562,0
11.569,-2.1286,0.10234,0.14913,1.157,0.05989,61.52,36.057,-7.8408,0
12.272,-1.9622,0.075598,0.21977,1.4633,0.066581,53.928,49.966,-7.8699,0
12.78,-1.9328,0.0033917,0.27758,1.7541,0.072504,50.281,63.929,-7.9642,0
13.602,-2.1458,0.017528,0.32961,1.9797,0.076746,43.262,77.961,-8.0504,0
14.255,-1.8938,0.1121,0.43773,2.3756,0.083297,32.356,92.024,-8.0881,0
14.329,-1.3696,0.16122,0.46923,2.526,0.085835,26.275,106.05,-8.0914,0
14.096,-0.9493,0.14379,0.42886,2.4283,0.084501,24.699,120.04,-8.0833,0
13.748,-0.77874,0.11954,0.38213,2.2673,0.081913,25.124,134.02,-8.0822,0
13.341,-0.78141,0.11696,0.37349,2.2227,0.081152,25.11,147.99,-8.0911,0
12.863,-0.82225,0.12668,0.38456,2.2601,0.08177,24.18,161.97,-8.1029,0
12.348,-0.84556,0.12647,0.40125,2.3259,0.082856,22.545,175.97,-8.1138,0
11.853,-0.82642,0.11014,0.41127,2.369,0.083566,20.348,189.97,-8.1222,0
11.413,-0.76275,0.077555,0.4133,2.3799,0.083744,17.916,203.99,-8.1253,0
11.029,-0.66961,0.038387,0.41015,2.3685,0.083557,15.477,218.02,-8.1211,0
10.709,-0.56459,0.0023051,0.40374,2.3445,0.083161,12.831,232.04,-8.1108,0
10.462,-0.4548,-0.0263,0.39567,2.314,0.082657,9.6184,246.06,-8.0992,0
10.379,-0.3554,-0.0046532,0.38186,2.5858,0.10946,6.3702,260.07,-8.092,0
10.288,-0.21142,0.027125,0.3355,2.9771,0.15864,4.7402,274.06,-8.0809,0
10.017,-0.14708,0.028494,0.28837,2.9853,0.17759,3.1627,288.05,-8.0724,0
9.862,-0.16516,0.016111,0.25828,2.7774,0.17171,2.1963,302.04,-8.0642,0
9.7076,-0.17702,-0.00064019,0.23032,2.5732,0.16562,1.0424,316.02,-8.058,0
9.6227,-0.17609,-0.010451,0.2119,2.4371,0.16151,0.39055,330,-8.0547,0
9.9915,-0.16906,0.010811,0.20351,1.466,0.066897,83.698,-20,6.0748,0
9.9905,-0.74877,0.042951,0.18097,1.3582,0.064558,83.497,-5.8987,6.0894,0
9.9997,-1.6047,0.04014,0.28998,1.1716,0.031676,82.275,8.1714,6.122,0
10.517,-2.9654,0.059066,0.23153,1.0078,0.02954,75.568,22.193,6.1706,0
12.221,-3.7417,0.04494,0.30113,1.1433,0.031302,56.018,36.09,6.2034,0
13.289,-2.5242,0.043193,0.45264,1.5399,0.035945,43.69,49.885,6.2,0
12.253,-2.1306,-0.0093445,0.54203,1.7456,0.038054,54.679,63.847,6.0213,0
10.605,-2.8937,0.36399,1.1638,2.9352,0.048354,45.812,77.918,5.9012,0
