"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.012,-0.041319,0.0079691,0.10089,1.4599,0.12734,80.383,-20,-50,0
10.067,-0.081559,0.01791,0.096828,1.4202,0.1257,80.061,-5.9747,-50,0
10.242,-0.16016,0.038702,0.089741,1.3486,0.12271,78.745,8.0399,-50,0
10.535,-0.22777,0.058983,0.084262,1.2932,0.12034,76.092,22.041,-50,0
10.918,-0.27242,0.074005,0.078613,1.2385,0.11793,72.258,36.029,-50,0
11.346,-0.29273,0.079967,0.073883,1.1854,0.11555,67.635,50.014,-50,0
11.792,-0.29758,0.07607,0.072592,1.1629,0.11452,62.647,64.003,-50,0
12.247,-0.28814,0.06384,0.074126,1.1727,0.11497,57.395,78.002,-50,0
12.691,-0.25727,0.0456,0.077675,1.2032,0.11634,51.867,92.007,-50,0
13.081,-0.21002,0.024926,0.082597,1.2495,0.1184,46.523,106.01,-50,0
13.403,-0.16411,0.0011674,0.087762,1.3016,0.12067,41.974,120.01,-50,0
13.675,-0.13287,-0.017449,0.092278,1.3499,0.12274,38.296,134.01,-50,0
13.924,-0.11802,-0.02169,0.095609,1.3883,0.12435,35.143,148,-50,0
14.158,-0.11476,-0.015828,0.097579,1.4139,0.1254,32.222,162,-50,0
14.374,-0.11734,-0.0035406,0.098255,1.427,0.12594,29.371,176,-50,0
14.573,-0.12106,0.011917,0.09786,1.4292,0.12601,26.448,190,-50,0
14.753,-0.12317,0.028474,0.096756,1.4226,0.12574,23.337,204.01,-50,0
14.915,-0.12258,0.045722,0.095308,1.4108,0.12524,19.984,218.01,-50,0
15.061,-0.11769,0.060976,0.093808,1.3969,0.12466,16.402,232.02,-50,0
15.191,-0.10728,0.072622,0.092441,1.3832,0.12409,12.67,246.03,-50,0
15.3,-0.08526,0.082046,0.091227,1.3705,0.12356,9.0051,260.03,-50,0
15.378,-0.059421,0.091126,0.090153,1.3589,0.12307,5.8483,274.03,-50,0
15.431,-0.047435,0.10184,0.089236,1.3489,0.12265,3.4709,288.03,-50,0
15.469,-0.049895,0.11368,0.088447,1.3403,0.12229,1.7777,302.02,-50,0
15.502,-0.05969,0.12849,0.087694,1.3322,0.12194,0.62314,316.01,-50,0
15.517,-0.065432,0.1374,0.087307,1.328,0.12177,0.16377,330,-50,0
10.014,-0.085722,0.0089929,0.1008,1.4593,0.12732,81.227,-20,-35.965,0
10.074,-0.16645,0.020785,0.096818,1.4196,0.12568,80.877,-5.9661,-35.96,0
10.261,-0.3254,0.045558,0.089935,1.3503,0.12278,79.471,8.0532,-35.952,0
10.576,-0.46357,0.069468,0.083748,1.2898,0.12018,76.624,22.052,-35.945,0
10.983,-0.55282,0.086898,0.077691,1.2277,0.11745,72.505,36.034,-35.946,0
11.433,-0.59322,0.093934,0.074685,1.1872,0.11563,67.624,50.009,-35.959,0
11.897,-0.61114,0.089559,0.077464,1.201,0.11623,62.468,63.995,-35.983,0
12.376,-0.60047,0.075772,0.084044,1.2614,0.11885,57.026,77.996,-36.009,0
12.847,-0.53369,0.05491,0.092535,1.3393,0.12214,51.247,92.008,-36.026,0
13.261,-0.42902,0.029751,0.10201,1.4244,0.12562,45.776,106.02,-36.033,0
13.595,-0.337,0.0043662,0.10966,1.5014,0.12871,41.33,120.02,-36.034,0
13.874,-0.28756,-0.0097582,0.11477,1.5569,0.1309,37.883,134.01,-36.033,0
14.124,-0.27716,-0.0051528,0.11797,1.5949,0.13239,34.951,148,-36.034,0
14.351,-0.28965,0.012423,0.11997,1.6203,0.13337,32.168,161.99,-36.037,0
14.553,-0.31208,0.036325,0.12151,1.6396,0.13408,29.348,175.99,-36.04,0
14.728,-0.33278,0.062671,0.123,1.6574,0.13471,26.359,189.99,-36.043,0
14.869,-0.34319,0.089259,0.12435,1.6719,0.1352,23.131,204,-36.043,0
14.98,-0.34122,0.11399,0.12575,1.6851,0.13561,19.649,218.01,-36.042,0
15.065,-0.32537,0.13507,0.1273,1.6962,0.13595,15.931,232.02,-36.04,0
15.128,-0.29848,0.15035,0.12961,1.7142,0.13651,12.063,246.03,-36.036,0
15.168,-0.25654,0.15629,0.13094,1.7275,0.13691,8.2158,260.04,-36.032,0
15.167,-0.2117,0.15571,0.13044,1.7237,0.13674,5.074,274.04,-36.029,0
15.13,-0.18741,0.15569,0.12962,1.717,0.13647,2.9853,288.03,-36.025,0
15.085,-0.1833,0.15715,0.12842,1.7085,0.13615,1.555,302.02,-36.023,0
15.036,-0.19012,0.15906,0.12539,1.6868,0.13538,0.50209,316.01,-36.021,0
15.008,-0.19478,0.16017,0.12302,1.6699,0.13479,0.041579,330,-36.02,0
10.017,-0.17322,0.013848,0.101,1.4603,0.12736,83.907,-20,-21.939,0
10.055,-0.30634,0.023356,0.12014,1.4212,0.11097,83.276,-5.948,-21.928,0
10.243,-0.65141,0.044764,0.12831,1.3177,0.092863,81.342,8.0822,-21.91,0
10.61,-0.92917,0.063203,0.11491,1.2332,0.090248,77.98,22.078,-21.895,0
11.115,-1.1001,0.0756,0.10372,1.1533,0.087618,72.914,36.043,-21.893,0
11.639,-1.1466,0.078907,0.10395,1.1357,0.086903,67.294,49.996,-21.917,0
12.144,-1.1668,0.069355,0.11934,1.2128,0.089278,61.972,63.973,-21.97,0
12.718,-1.1563,0.04567,0.14352,1.3594,0.09376,56.051,77.983,-22.024,0
13.312,-0.992,0.020745,0.16466,1.4992,0.09801,49.206,92.011,-22.055,0
13.769,-0.73514,-0.0044,0.18057,1.608,0.10142,43.32,106.03,-22.064,0
14.075,-0.5175,-0.025291,0.19061,1.6849,0.10389,39.345,120.03,-22.063,0
14.303,-0.43199,-0.03181,0.19672,1.7313,0.10535,36.766,134.01,-22.062,0
14.497,-0.45713,-0.011225,0.2014,1.7655,0.10633,34.543,148,-22.065,0
14.645,-0.5407,0.027645,0.20673,1.7986,0.10717,32.116,161.99,-22.072,0
14.727,-0.62424,0.074171,0.21521,1.8431,0.10822,29.322,175.98,-22.078,0
14.727,-0.67654,0.11946,0.22667,1.9027,0.1096,26.113,189.99,-22.083,0
14.645,-0.68966,0.15827,0.23807,1.9632,0.111,22.569,204,-22.085,0
14.498,-0.66833,0.18338,0.24807,2.0172,0.11228,18.79,218.01,-22.083,0
14.314,-0.6196,0.19562,0.25581,2.0605,0.11335,14.791,232.03,-22.077,0
14.117,-0.55022,0.19564,0.26095,2.0976,0.11441,10.697,246.04,-22.069,0
13.771,-0.39394,0.17687,0.27049,2.4739,0.14337,6.5149,260.05,-22.061,0
13.5,-0.27282,0.15577,0.26531,2.7646,0.17015,3.528,274.05,-22.055,0
13.358,-0.22872,0.13994,0.24688,2.6525,0.16719,1.9661,288.04,-22.049,0
13.2,-0.22513,0.12381,0.23147,2.5546,0.16452,1.0825,302.03,-22.044,0
13.038,-0.2365,0.10658,0.21446,2.438,0.16113,0.31842,316.02,-22.04,0
12.95,-0.24266,0.097055,0.20286,2.356,0.1587,-0.081283,330,-22.038,0
10.001,-0.17797,0.012103,0.1521,1.4634,0.097147,87.73,-20,-7.9247,0
10.012,-0.47901,0.028295,0.16207,1.389,0.080381,87.836,-5.9205,-7.9084,0
10.225,-1.1745,0.058591,0.16203,1.2595,0.062325,86.015,8.1214,-7.8844,0
10.738,-1.7931,0.083006,0.14032,1.1471,0.059668,81.264,22.12,-7.8562,0
11.551,-2.1099,0.10602,0.1426,1.1356,0.059378,72.957,36.057,-7.8408,0
