"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.019,-0.045848,0.0056356,0.10068,1.4584,0.12728,30.278,-20,-50,0
10.087,-0.089791,0.013778,0.096858,1.4199,0.12569,29.881,-5.9747,-50,0
10.291,-0.17247,0.030802,0.090167,1.353,0.1229,28.369,8.0399,-50,0
10.618,-0.24099,0.046935,0.083889,1.2932,0.12033,25.452,22.041,-50,0
11.039,-0.28767,0.057632,0.077844,1.2294,0.11752,21.308,36.029,-50,0
11.512,-0.31238,0.059594,0.07515,1.1925,0.11588,16.334,50.014,-50,0
12.005,-0.32352,0.051835,0.07631,1.1968,0.11607,11.013,64.003,-50,0
12.503,-0.32081,0.034999,0.079979,1.2272,0.11743,5.5818,78.002,-50,0
12.987,-0.29744,0.012608,0.085304,1.2774,0.11963,0.14418,92.007,-50,0
13.427,-0.25928,-0.0090559,0.090717,1.333,0.12203,-4.8982,106.01,-50,0
13.815,-0.22129,-0.025504,0.095059,1.3811,0.12406,-9.1339,120.01,-50,0
14.168,-0.19087,-0.032599,0.097873,1.4156,0.12549,-12.614,134.01,-50,0
14.503,-0.16729,-0.028295,0.099123,1.435,0.12629,-15.57,148,-50,0
14.821,-0.14953,-0.014083,0.099002,1.4406,0.1265,-17.97,162,-50,0
15.108,-0.13747,0.0065975,0.097874,1.4347,0.12625,-19.565,176,-50,0
15.35,-0.13168,0.030383,0.096215,1.4214,0.12569,-20.123,190,-50,0
15.539,-0.13234,0.057396,0.094456,1.4052,0.12502,-19.552,204.01,-50,0
15.67,-0.13772,0.086509,0.092862,1.3891,0.12434,-17.879,218.01,-50,0
15.744,-0.14507,0.11235,0.091547,1.3749,0.12375,-15.273,232.02,-50,0
15.774,-0.15363,0.13138,0.090487,1.3632,0.12325,-12.117,246.03,-50,0
15.773,-0.158,0.14426,0.089605,1.3532,0.12283,-8.9224,260.03,-50,0
15.752,-0.15641,0.15247,0.088836,1.3445,0.12246,-6.0687,274.03,-50,0
15.716,-0.15374,0.15784,0.088146,1.3367,0.12213,-3.7086,288.03,-50,0
15.675,-0.15195,0.16099,0.08753,1.3297,0.12184,-1.9068,302.02,-50,0
15.624,-0.15159,0.16665,0.086961,1.3231,0.12155,-0.76108,316.01,-50,0
15.593,-0.15154,0.17138,0.08668,1.3197,0.12141,-0.37062,330,-50,0
10.023,-0.095012,0.0067761,0.10061,1.4574,0.12724,31.192,-20,-35.965,0
10.095,-0.18398,0.016752,0.097025,1.421,0.12574,30.75,-5.9661,-35.96,0
10.31,-0.35109,0.037581,0.090122,1.3539,0.12293,29.124,8.0532,-35.952,0
10.654,-0.48904,0.057207,0.08302,1.2847,0.11996,26.002,22.052,-35.945,0
11.096,-0.58122,0.069654,0.077806,1.2252,0.11734,21.563,36.034,-35.946,0
11.588,-0.62977,0.069745,0.078607,1.22,0.1171,16.328,50.009,-35.959,0
12.097,-0.65241,0.056866,0.084779,1.2713,0.11931,10.82,63.995,-35.983,0
12.618,-0.63806,0.035412,0.094507,1.3538,0.12278,5.1558,77.996,-36.009,0
