"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.042768,0.0082421,0.10088,1.4592,0.12731,53.684,-20,-50,0
10.073,-0.085071,0.01924,0.09702,1.4218,0.12577,53.341,-5.9747,-50,0
10.254,-0.16602,0.042649,0.089677,1.3498,0.12276,51.977,8.0399,-50,0
10.548,-0.23355,0.066512,0.083565,1.2866,0.12005,49.289,22.041,-50,0
10.922,-0.27711,0.086244,0.07914,1.24,0.118,45.482,36.029,-50,0
11.329,-0.2958,0.098108,0.074586,1.1955,0.11601,40.993,50.014,-50,0
11.743,-0.30218,0.10052,0.070371,1.1484,0.11385,36.282,64.003,-50,0
12.17,-0.30042,0.095325,0.068876,1.1253,0.11278,31.425,78.002,-50,0
12.599,-0.27598,0.085433,0.069495,1.1276,0.11288,26.273,92.007,-50,0
12.978,-0.22525,0.069127,0.071521,1.1442,0.11364,21.246,106.01,-50,0
13.267,-0.16619,0.043301,0.074816,1.1738,0.115,17.142,120.01,-50,0
13.479,-0.11818,0.013156,0.079002,1.2136,0.11679,14.258,134.01,-50,0
13.653,-0.089778,-0.016134,0.083544,1.2588,0.1188,12.254,148,-50,0
13.825,-0.077335,-0.040251,0.087861,1.3039,0.12075,10.587,162,-50,0
14.005,-0.072697,-0.04982,0.091491,1.3439,0.12245,8.9131,176,-50,0
14.188,-0.07073,-0.046969,0.094148,1.3754,0.12378,7.1812,190,-50,0
14.364,-0.068913,-0.038053,0.095753,1.397,0.12467,5.4966,204.01,-50,0
14.522,-0.066526,-0.024248,0.096386,1.4086,0.12516,3.9962,218.01,-50,0
14.653,-0.064064,-0.0081031,0.096209,1.4116,0.12528,2.7906,232.02,-50,0
14.753,-0.06249,0.0079995,0.095488,1.4081,0.12513,1.9459,246.03,-50,0
14.821,-0.055939,0.020612,0.094459,1.4001,0.1248,1.434,260.03,-50,0
14.862,-0.047142,0.029505,0.09328,1.3896,0.12436,1.2082,274.03,-50,0
14.884,-0.046485,0.037867,0.09207,1.3781,0.12389,1.1558,288.03,-50,0
14.899,-0.052803,0.04629,0.090924,1.3668,0.12341,1.0381,302.02,-50,0
14.905,-0.059468,0.058562,0.089841,1.3558,0.12295,0.60525,316.01,-50,0
14.904,-0.0618,0.066803,0.089299,1.3503,0.12271,0.27731,330,-50,0
10.017,-0.089044,0.0093109,0.10096,1.46,0.12735,54.549,-20,-35.965,0
10.08,-0.17445,0.022264,0.09696,1.4215,0.12576,54.175,-5.9661,-35.96,0
10.274,-0.33891,0.049905,0.089507,1.3476,0.12267,52.711,8.0532,-35.952,0
10.589,-0.47715,0.07811,0.083562,1.286,0.12002,49.816,22.052,-35.945,0
10.986,-0.56383,0.10135,0.078454,1.2344,0.11775,45.711,36.034,-35.946,0
11.411,-0.59913,0.11516,0.073558,1.1836,0.11546,40.966,50.009,-35.959,0
11.84,-0.61906,0.11855,0.071073,1.1499,0.11392,36.141,63.995,-35.983,0
12.289,-0.62945,0.11508,0.073145,1.1602,0.11437,31.146,77.996,-36.009,0
