"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.043768,0.0090099,0.10082,1.4589,0.1273,56.159,-20,-50,0
10.072,-0.085133,0.020226,0.096988,1.4212,0.12574,55.805,-5.9747,-50,0
10.25,-0.16486,0.04405,0.089858,1.3512,0.12282,54.42,8.0399,-50,0
10.539,-0.23245,0.068599,0.083556,1.2879,0.1201,51.707,22.041,-50,0
10.908,-0.27643,0.089596,0.078684,1.2352,0.11779,47.862,36.029,-50,0
11.307,-0.29429,0.10313,0.075004,1.1976,0.11611,43.317,50.014,-50,0
11.708,-0.29882,0.10719,0.070691,1.1531,0.11406,38.574,64.003,-50,0
12.113,-0.29731,0.10358,0.067607,1.1158,0.11233,33.771,78.002,-50,0
12.523,-0.27714,0.09638,0.067049,1.1055,0.11184,28.737,92.007,-50,0
12.891,-0.23127,0.086043,0.067678,1.1085,0.11198,23.769,106.01,-50,0
13.174,-0.17217,0.066418,0.069421,1.1228,0.11264,19.581,120.01,-50,0
13.375,-0.11745,0.038098,0.072183,1.1476,0.11379,16.501,134.01,-50,0
13.526,-0.079791,0.010526,0.075777,1.1817,0.11534,14.291,148,-50,0
13.668,-0.06163,-0.014848,0.079886,1.2222,0.11716,12.466,162,-50,0
13.822,-0.055604,-0.03247,0.084084,1.2652,0.11906,10.612,176,-50,0
13.989,-0.053856,-0.03784,0.087928,1.3064,0.12084,8.593,190,-50,0
14.156,-0.052392,-0.037047,0.091085,1.3419,0.12236,6.5051,204.01,-50,0
14.313,-0.049517,-0.032702,0.093378,1.3696,0.12352,4.4926,218.01,-50,0
14.451,-0.044611,-0.025845,0.094733,1.3882,0.1243,2.6818,232.02,-50,0
14.564,-0.038024,-0.01766,0.095253,1.3981,0.12472,1.188,246.03,-50,0
14.65,-0.022554,-0.01132,0.095079,1.4003,0.12481,0.057923,260.03,-50,0
14.707,-0.0025222,-0.0080906,0.09441,1.3965,0.12465,-0.65618,274.03,-50,0
14.742,0.0065146,-0.0044313,0.093477,1.3891,0.12434,-0.93872,288.03,-50,0
14.763,0.0045208,0.0014758,0.092446,1.3799,0.12396,-0.88991,302.02,-50,0
14.778,-0.0011653,0.011618,0.09138,1.3698,0.12354,-0.60371,316.01,-50,0
14.783,-0.0039852,0.018329,0.090828,1.3644,0.12331,-0.41219,330,-50,0
10.017,-0.091126,0.010134,0.10087,1.4591,0.12731,57.037,-20,-35.965,0
10.079,-0.17447,0.02326,0.097035,1.4219,0.12577,56.653,-5.9661,-35.96,0
10.269,-0.33617,0.051289,0.08964,1.3493,0.12274,55.176,8.0532,-35.952,0
10.579,-0.47515,0.080366,0.083314,1.2844,0.11995,52.266,22.052,-35.945,0
10.973,-0.56438,0.10545,0.078405,1.2328,0.11768,48.121,36.034,-35.946,0
11.392,-0.59855,0.12171,0.073922,1.1872,0.11563,43.309,50.009,-35.959,0
11.805,-0.61245,0.12735,0.070134,1.1448,0.11368,38.45,63.995,-35.983,0
12.23,-0.62035,0.12628,0.069607,1.1319,0.11308,33.537,77.996,-36.009,0
12.667,-0.58895,0.1222,0.072476,1.1549,0.11411,28.226,92.008,-36.026,0
13.06,-0.50396,0.11219,0.076606,1.1945,0.11587,22.99,106.02,-36.033,0
13.356,-0.38913,0.089663,0.081668,1.2404,0.11787,18.754,120.02,-36.034,0
13.555,-0.27775,0.054963,0.087291,1.2896,0.11997,15.816,134.01,-36.033,0
13.698,-0.19989,0.018007,0.092656,1.3395,0.12208,13.836,148,-36.034,0
13.833,-0.16472,-0.013466,0.098175,1.3905,0.1242,12.221,161.99,-36.037,0
13.986,-0.15716,-0.033073,0.10376,1.4439,0.12638,10.478,175.99,-36.04,0
14.152,-0.15868,-0.038599,0.10935,1.4987,0.12857,8.487,189.99,-36.043,0
