"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.043312,0.008263,0.10092,1.46,0.12734,74.459,-20,-50,0
10.071,-0.083192,0.018626,0.096861,1.4206,0.12572,74.101,-5.9747,-50,0
10.246,-0.16068,0.040373,0.089624,1.348,0.12268,72.697,8.0399,-50,0
10.538,-0.2274,0.06198,0.084151,1.2916,0.12027,69.928,22.041,-50,0
10.915,-0.27199,0.078924,0.07888,1.2406,0.11803,65.96,36.029,-50,0
11.337,-0.29261,0.087302,0.073847,1.1861,0.11558,61.194,50.014,-50,0
11.777,-0.29847,0.086005,0.07175,1.1562,0.11421,56.054,64.003,-50,0
12.231,-0.29086,0.076603,0.072664,1.1596,0.11437,50.623,78.002,-50,0
12.676,-0.261,0.060592,0.075525,1.1831,0.11544,44.858,92.007,-50,0
13.068,-0.21306,0.040206,0.079938,1.2236,0.11725,39.228,106.01,-50,0
13.386,-0.16524,0.015771,0.08499,1.2732,0.11944,34.397,120.01,-50,0
13.65,-0.13225,-0.0066603,0.089767,1.3229,0.12159,30.48,134.01,-50,0
13.891,-0.1169,-0.017334,0.09363,1.3658,0.1234,27.101,148,-50,0
14.123,-0.11364,-0.017393,0.096233,1.3976,0.12472,23.889,162,-50,0
14.35,-0.11545,-0.011017,0.097585,1.4172,0.12553,20.644,176,-50,0
14.568,-0.11692,-0.00015543,0.097812,1.4254,0.12586,17.254,190,-50,0
14.775,-0.11512,0.013162,0.09714,1.4239,0.12579,13.692,204.01,-50,0
14.966,-0.10949,0.027698,0.09594,1.4156,0.12544,10.044,218.01,-50,0
15.136,-0.099951,0.041122,0.094525,1.4034,0.12494,6.4786,232.02,-50,0
15.284,-0.086775,0.051845,0.093141,1.3902,0.12439,3.2034,246.03,-50,0
15.399,-0.064254,0.060967,0.091862,1.3773,0.12385,0.45691,260.03,-50,0
15.47,-0.038128,0.07035,0.090698,1.3651,0.12334,-1.4221,274.03,-50,0
15.499,-0.025356,0.081665,0.089694,1.3542,0.12288,-2.2698,288.03,-50,0
15.5,-0.0274,0.094027,0.088837,1.3447,0.12248,-2.2377,302.02,-50,0
15.483,-0.035827,0.11026,0.088033,1.3359,0.1221,-1.4999,316.01,-50,0
15.47,-0.040377,0.12039,0.08762,1.3314,0.12191,-0.97241,330,-50,0
10.017,-0.090056,0.0093368,0.10087,1.4599,0.12734,75.328,-20,-35.965,0
10.077,-0.17014,0.021507,0.096802,1.4197,0.12568,74.939,-5.9661,-35.96,0
10.265,-0.3267,0.047197,0.089786,1.3489,0.12272,73.445,8.0532,-35.952,0
10.576,-0.46296,0.072523,0.083826,1.2899,0.12019,70.487,22.052,-35.945,0
10.979,-0.55253,0.091944,0.077851,1.2294,0.11753,66.235,36.034,-35.946,0
11.423,-0.5937,0.10153,0.074014,1.1833,0.11545,61.216,50.009,-35.959,0
11.881,-0.61447,0.10021,0.075355,1.1872,0.11561,55.925,63.995,-35.983,0
12.358,-0.61063,0.089944,0.081252,1.2342,0.11767,50.318,77.996,-36.009,0
12.831,-0.54937,0.072055,0.089074,1.3038,0.12064,44.286,92.008,-36.026,0
13.245,-0.44311,0.047348,0.097865,1.3875,0.12411,38.499,106.02,-36.033,0
13.573,-0.343,0.018719,0.106,1.4653,0.12726,33.758,120.02,-36.034,0
13.841,-0.28471,-0.0038032,0.11192,1.5263,0.12969,30.074,134.01,-36.033,0
14.083,-0.26902,-0.0085642,0.116,1.5716,0.13148,26.909,148,-36.034,0
14.312,-0.27731,0.0017245,0.11877,1.6044,0.13275,23.809,161.99,-36.037,0
14.53,-0.29355,0.018782,0.12094,1.6297,0.1337,20.565,175.99,-36.04,0
14.732,-0.30765,0.039632,0.12302,1.6528,0.13454,17.092,189.99,-36.043,0
14.91,-0.31151,0.062935,0.12481,1.6723,0.13521,13.417,204,-36.043,0
15.058,-0.30275,0.086132,0.12649,1.6887,0.13576,9.6702,218.01,-36.042,0
15.175,-0.28235,0.10626,0.12797,1.7019,0.13617,6.0306,232.02,-36.04,0
15.261,-0.25521,0.12257,0.13032,1.719,0.1367,2.7117,246.03,-36.036,0
15.31,-0.21517,0.13174,0.13209,1.7339,0.13716,-0.096615,260.04,-36.032,0
15.306,-0.16969,0.13456,0.13175,1.7336,0.1371,-1.8819,274.04,-36.029,0
15.253,-0.14433,0.1374,0.13104,1.7275,0.13685,-2.4477,288.03,-36.025,0
15.177,-0.14165,0.14144,0.13009,1.7197,0.13655,-2.2127,302.02,-36.023,0
15.083,-0.14875,0.14627,0.12752,1.701,0.13588,-1.4704,316.01,-36.021,0
15.031,-0.15253,0.14902,0.12549,1.6867,0.13538,-1.0015,330,-36.02,0
10.019,-0.18196,0.014446,0.10096,1.4628,0.12746,78.092,-20,-21.939,0
10.057,-0.31128,0.024066,0.1203,1.4207,0.11097,77.421,-5.948,-21.928,0
10.242,-0.6496,0.045947,0.1282,1.3161,0.092807,75.397,8.0822,-21.91,0
10.605,-0.9269,0.065547,0.11512,1.2341,0.090289,71.934,22.078,-21.895,0
