"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.044237,0.0093952,0.10082,1.459,0.1273,51.314,-20,-50,0
10.073,-0.086154,0.020958,0.096962,1.421,0.12573,50.96,-5.9747,-50,0
10.251,-0.16668,0.04538,0.08988,1.3511,0.12281,49.576,8.0399,-50,0
10.541,-0.23474,0.07038,0.083638,1.2889,0.12014,46.868,22.041,-50,0
10.91,-0.27907,0.091818,0.078553,1.2344,0.11775,43.032,36.029,-50,0
11.309,-0.29669,0.10589,0.074991,1.1968,0.11607,38.501,50.014,-50,0
11.707,-0.30015,0.11056,0.070861,1.155,0.11415,33.785,64.003,-50,0
12.106,-0.29775,0.10754,0.067436,1.115,0.11229,29.054,78.002,-50,0
12.508,-0.27835,0.10108,0.066512,1.1004,0.1116,24.146,92.007,-50,0
12.871,-0.23472,0.092184,0.06678,1.1,0.11158,19.315,106.01,-50,0
13.154,-0.17733,0.075327,0.068082,1.11,0.11205,15.223,120.01,-50,0
13.356,-0.12194,0.047373,0.070365,1.1302,0.11298,12.198,134.01,-50,0
13.505,-0.081368,0.018789,0.073526,1.1596,0.11433,10.045,148,-50,0
13.639,-0.060206,-0.0055098,0.077347,1.1966,0.11601,8.3447,162,-50,0
13.783,-0.052509,-0.025332,0.081477,1.2382,0.11786,6.6979,176,-50,0
13.941,-0.049856,-0.035538,0.085491,1.2802,0.1197,4.9393,190,-50,0
14.101,-0.04765,-0.038101,0.089005,1.3187,0.12136,3.1374,204.01,-50,0
14.252,-0.044022,-0.036891,0.091771,1.3506,0.12272,1.4336,218.01,-50,0
14.386,-0.03837,-0.033116,0.093647,1.3742,0.12372,-0.042467,232.02,-50,0
14.495,-0.03133,-0.027075,0.094649,1.3891,0.12434,-1.1746,246.03,-50,0
14.578,-0.016253,-0.021543,0.094873,1.3957,0.12462,-1.9199,260.03,-50,0
14.632,0.0032308,-0.018288,0.094489,1.3954,0.1246,-2.2452,274.03,-50,0
14.661,0.012061,-0.014721,0.093732,1.3902,0.12439,-2.1465,288.03,-50,0
14.673,0.010371,-0.0089674,0.092801,1.3824,0.12407,-1.7132,302.02,-50,0
14.67,0.0065938,0.00012107,0.091783,1.3731,0.12368,-1.0299,316.01,-50,0
