"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.042496,0.0083718,0.10085,1.459,0.1273,59.551,-20,-50,0
10.071,-0.084095,0.019338,0.097022,1.4216,0.12576,59.21,-5.9747,-50,0
10.25,-0.16426,0.042766,0.089749,1.3505,0.12279,57.855,8.0399,-50,0
10.541,-0.23179,0.066869,0.083511,1.2866,0.12005,55.178,22.041,-50,0
10.912,-0.27534,0.087036,0.079003,1.2383,0.11793,51.38,36.029,-50,0
11.315,-0.29357,0.099393,0.074803,1.197,0.11608,46.894,50.014,-50,0
11.724,-0.29938,0.10222,0.070422,1.1497,0.11391,42.191,64.003,-50,0
12.143,-0.29796,0.097418,0.068302,1.1208,0.11257,37.361,78.002,-50,0
12.566,-0.27507,0.088393,0.068513,1.1186,0.11246,32.239,92.007,-50,0
12.94,-0.22543,0.074046,0.070034,1.1302,0.113,27.207,106.01,-50,0
13.225,-0.16531,0.049461,0.072784,1.1545,0.11411,23.052,120.01,-50,0
13.428,-0.1142,0.020222,0.076524,1.1894,0.1157,20.09,134.01,-50,0
13.59,-0.082527,-0.0077949,0.080848,1.2316,0.11759,18.002,148,-50,0
13.748,-0.068469,-0.033921,0.085234,1.2764,0.11955,16.237,162,-50,0
13.917,-0.063696,-0.04648,0.089188,1.3187,0.12138,14.399,176,-50,0
14.093,-0.062239,-0.045299,0.092351,1.3545,0.1229,12.409,190,-50,0
14.264,-0.061287,-0.038446,0.094531,1.3815,0.12403,10.376,204.01,-50,0
14.419,-0.059594,-0.026799,0.095721,1.3988,0.12474,8.4316,218.01,-50,0
14.551,-0.057027,-0.012898,0.096028,1.4068,0.12508,6.6775,232.02,-50,0
14.655,-0.054042,0.0011097,0.095665,1.4074,0.1251,5.1907,246.03,-50,0
14.731,-0.04384,0.011368,0.094854,1.4022,0.12489,3.975,260.03,-50,0
14.781,-0.030387,0.017627,0.093788,1.3934,0.12452,3.0438,274.03,-50,0
14.815,-0.026677,0.023947,0.092629,1.3828,0.12408,2.3467,288.03,-50,0
14.845,-0.032226,0.031266,0.091489,1.3719,0.12363,1.6892,302.02,-50,0
14.875,-0.040641,0.043031,0.090387,1.361,0.12317,0.87415,316.01,-50,0
14.888,-0.044576,0.051039,0.089832,1.3555,0.12293,0.40229,330,-50,0
10.016,-0.088451,0.0094463,0.10094,1.4597,0.12733,60.412,-20,-35.965,0
10.079,-0.17226,0.022345,0.096999,1.4218,0.12577,60.042,-5.9661,-35.96,0
10.269,-0.33496,0.050008,0.089532,1.3481,0.12269,58.59,8.0532,-35.952,0
10.582,-0.47355,0.078566,0.083451,1.2851,0.11998,55.711,22.052,-35.945,0
10.978,-0.56083,0.1025,0.078484,1.2342,0.11775,51.616,36.034,-35.946,0
11.399,-0.59526,0.11709,0.073686,1.1848,0.11552,46.874,50.009,-35.959,0
11.821,-0.61324,0.12108,0.070559,1.1468,0.11378,42.062,63.995,-35.983,0
12.261,-0.62377,0.11839,0.071541,1.1492,0.11387,37.106,77.996,-36.009,0
12.714,-0.58673,0.11153,0.07597,1.1853,0.11548,31.677,92.008,-36.026,0
13.113,-0.48973,0.096124,0.081342,1.2352,0.11766,26.369,106.02,-36.033,0
13.407,-0.36743,0.06717,0.087395,1.2934,0.12015,22.194,120.02,-36.034,0
13.607,-0.26148,0.02997,0.093876,1.3519,0.1226,19.418,134.01,-36.033,0
13.763,-0.19787,-0.0059442,0.099847,1.4078,0.12491,17.58,148,-36.034,0
13.918,-0.17486,-0.033888,0.1055,1.4625,0.12714,16.006,161.99,-36.037,0
14.087,-0.17332,-0.045099,0.11063,1.5139,0.12919,14.263,175.99,-36.04,0
