"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.016,-0.044601,0.0083237,0.10093,1.4597,0.12733,47.468,-20,-50,0
10.076,-0.086662,0.019218,0.096961,1.4215,0.12576,47.097,-5.9747,-50,0
10.259,-0.16666,0.042156,0.089567,1.3484,0.1227,45.663,8.0399,-50,0
10.554,-0.23351,0.065181,0.083824,1.2883,0.12012,42.877,22.041,-50,0
10.931,-0.27772,0.083993,0.07919,1.2422,0.1181,38.94,36.029,-50,0
11.347,-0.29809,0.094931,0.074065,1.19,0.11575,34.279,50.014,-50,0
11.776,-0.3055,0.096502,0.070689,1.1486,0.11386,29.342,64.003,-50,0
12.221,-0.30201,0.09045,0.070469,1.1398,0.11345,24.195,78.002,-50,0
12.664,-0.27481,0.078447,0.072032,1.151,0.11397,18.742,92.007,-50,0
13.055,-0.22481,0.058955,0.075225,1.1788,0.11523,13.452,106.01,-50,0
13.363,-0.17135,0.03208,0.079569,1.2196,0.11707,9.0774,120.01,-50,0
13.605,-0.13165,0.002291,0.084351,1.267,0.11916,5.836,134.01,-50,0
13.819,-0.11069,-0.022022,0.08888,1.3143,0.12121,3.3578,148,-50,0
14.031,-0.10272,-0.034609,0.092596,1.3555,0.12296,1.1818,162,-50,0
14.247,-0.10009,-0.037133,0.095213,1.387,0.12427,-0.92695,176,-50,0
14.463,-0.097746,-0.032635,0.096687,1.4075,0.12512,-3.0009,190,-50,0
14.67,-0.093305,-0.022132,0.097111,1.4174,0.12552,-4.9522,204.01,-50,0
14.858,-0.086824,-0.0076963,0.096701,1.4183,0.12555,-6.6011,218.01,-50,0
15.016,-0.079321,0.0076896,0.095738,1.4123,0.12531,-7.7466,232.02,-50,0
15.137,-0.072893,0.022703,0.094528,1.4025,0.1249,-8.2315,246.03,-50,0
15.218,-0.062884,0.035677,0.093258,1.3909,0.12441,-8.0137,260.03,-50,0
15.256,-0.050701,0.046527,0.092,1.3786,0.1239,-7.1204,274.03,-50,0
15.255,-0.046513,0.057543,0.090823,1.3665,0.1234,-5.6722,288.03,-50,0
15.224,-0.050019,0.068254,0.089783,1.3554,0.12293,-3.9136,302.02,-50,0
15.163,-0.05334,0.082483,0.088824,1.345,0.12249,-2.0907,316.01,-50,0
15.123,-0.053698,0.091752,0.088343,1.3399,0.12227,-1.193,330,-50,0
10.019,-0.092938,0.0094345,0.10096,1.4603,0.12736,48.356,-20,-35.965,0
10.083,-0.17795,0.022219,0.096861,1.4207,0.12572,47.951,-5.9661,-35.96,0
10.278,-0.34019,0.049221,0.089564,1.3475,0.12266,46.415,8.0532,-35.952,0
10.593,-0.4764,0.07625,0.083774,1.2883,0.12012,43.428,22.052,-35.945,0
10.994,-0.56446,0.097984,0.078204,1.2331,0.11769,39.197,36.034,-35.946,0
11.429,-0.60418,0.1104,0.073475,1.1811,0.11535,34.281,50.009,-35.959,0
