"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.021,-0.046473,0.0055406,0.10056,1.4568,0.12721,88.313,-20,-50,0
10.086,-0.085758,0.014375,0.097024,1.4208,0.12573,87.848,-5.9747,-50,0
10.277,-0.16265,0.033689,0.090212,1.3547,0.12297,86.16,8.0399,-50,0
10.589,-0.23101,0.053646,0.083177,1.2869,0.12005,82.937,22.041,-50,0
11.003,-0.27949,0.068501,0.077987,1.2275,0.11745,78.25,36.029,-50,0
11.481,-0.30601,0.073329,0.077252,1.2089,0.11662,72.418,50.014,-50,0
11.987,-0.31985,0.066303,0.080049,1.2297,0.11754,65.915,64.003,-50,0
12.507,-0.32177,0.050718,0.08508,1.2754,0.11955,59.037,78.002,-50,0
13.019,-0.30538,0.035672,0.090741,1.3326,0.12202,51.942,92.007,-50,0
13.486,-0.2761,0.026407,0.09542,1.3841,0.12419,45.07,106.01,-50,0
13.893,-0.24734,0.02176,0.098417,1.4207,0.12571,38.814,120.01,-50,0
14.256,-0.22478,0.022738,0.099692,1.4408,0.12653,32.956,134.01,-50,0
14.6,-0.20625,0.031847,0.099454,1.4455,0.12672,26.927,148,-50,0
14.937,-0.18822,0.048864,0.098142,1.438,0.1264,20.403,162,-50,0
15.263,-0.17004,0.070487,0.096291,1.4227,0.12576,13.534,176,-50,0
15.57,-0.15318,0.092712,0.094357,1.4044,0.12499,6.736,190,-50,0
15.846,-0.13825,0.11348,0.092645,1.3868,0.12425,0.4651,204.01,-50,0
16.078,-0.12543,0.13241,0.091275,1.3719,0.12362,-4.7868,218.01,-50,0
16.252,-0.11497,0.14878,0.090217,1.36,0.12312,-8.5558,232.02,-50,0
16.36,-0.1077,0.16222,0.089383,1.3506,0.12272,-10.589,246.03,-50,0
16.401,-0.098065,0.17221,0.08871,1.3428,0.12239,-10.964,260.03,-50,0
16.383,-0.08549,0.17841,0.08816,1.3361,0.12211,-10.013,274.03,-50,0
16.322,-0.080611,0.18215,0.087706,1.3304,0.12186,-8.1378,288.03,-50,0
16.239,-0.086934,0.18473,0.087321,1.3253,0.12165,-5.7257,302.02,-50,0
16.147,-0.096225,0.18962,0.086977,1.3208,0.12145,-3.0749,316.01,-50,0
16.098,-0.099926,0.19343,0.086812,1.3185,0.12136,-1.7154,330,-50,0
10.024,-0.096003,0.0067463,0.10062,1.4567,0.12721,89.232,-20,-35.965,0
10.092,-0.17373,0.017107,0.097197,1.4227,0.12581,88.729,-5.9661,-35.96,0
10.293,-0.32641,0.03985,0.089822,1.3524,0.12287,86.956,8.0532,-35.952,0
10.624,-0.46528,0.062721,0.082558,1.2788,0.1197,83.555,22.052,-35.945,0
11.062,-0.56282,0.077256,0.079146,1.2323,0.11766,78.585,36.034,-35.946,0
11.56,-0.61016,0.076667,0.083105,1.2544,0.11861,72.535,50.009,-35.959,0
12.081,-0.62981,0.061157,0.092205,1.3305,0.12184,65.947,63.995,-35.983,0
12.63,-0.62414,0.041892,0.10312,1.4348,0.12609,58.934,77.996,-36.009,0
13.192,-0.58835,0.035525,0.11224,1.5321,0.12995,51.598,92.008,-36.026,0
13.712,-0.54493,0.042811,0.11689,1.5899,0.13222,44.571,106.02,-36.033,0
14.15,-0.51658,0.056929,0.11874,1.6175,0.13331,38.298,120.02,-36.034,0
14.517,-0.50408,0.078934,0.1191,1.6279,0.13373,32.425,134.01,-36.033,0
14.843,-0.49681,0.10783,0.11833,1.6273,0.13371,26.318,148,-36.034,0
15.142,-0.48407,0.13942,0.11727,1.6215,0.13347,19.706,161.99,-36.037,0
15.407,-0.46221,0.1691,0.11664,1.617,0.13326,12.817,175.99,-36.04,0
15.636,-0.43393,0.19441,0.11651,1.6151,0.13313,6.0946,189.99,-36.043,0
15.82,-0.4024,0.21349,0.11711,1.6186,0.1332,-0.028602,204,-36.043,0
15.953,-0.37,0.2249,0.11853,1.6292,0.13352,-5.1022,218.01,-36.042,0
16.027,-0.33826,0.22942,0.1197,1.6418,0.13393,-8.6935,232.02,-36.04,0
16.041,-0.31238,0.22823,0.11978,1.6478,0.1341,-10.564,246.03,-36.036,0
16.003,-0.28401,0.22188,0.11914,1.6446,0.13396,-10.856,260.04,-36.032,0
15.916,-0.24804,0.21203,0.11788,1.6345,0.13359,-9.8301,274.04,-36.029,0
15.786,-0.22527,0.20124,0.11595,1.6183,0.133,-7.8428,288.03,-36.025,0
15.64,-0.22336,0.19099,0.1135,1.5961,0.13219,-5.4027,302.02,-36.023,0
15.491,-0.22662,0.18242,0.11046,1.5661,0.1311,-2.869,316.01,-36.021,0
15.415,-0.22694,0.17872,0.10871,1.5486,0.13046,-1.612,330,-36.02,0
10.025,-0.19398,0.012138,0.10099,1.4588,0.1273,92.097,-20,-21.939,0
10.067,-0.30978,0.020968,0.12045,1.4238,0.11108,91.328,-5.948,-21.928,0
10.254,-0.63623,0.0402,0.12816,1.3182,0.092853,89.044,8.0822,-21.91,0
10.63,-0.92173,0.058495,0.11296,1.2191,0.089756,85.195,22.078,-21.895,0
11.174,-1.1066,0.063063,0.11079,1.1827,0.08855,79.204,36.043,-21.893,0
11.755,-1.1414,0.044697,0.12872,1.2704,0.091242,72.452,49.996,-21.917,0
12.319,-1.1215,-0.0026975,0.15626,1.4368,0.096254,65.854,63.973,-21.97,0
12.984,-1.0902,-0.022749,0.17469,1.5803,0.1008,58.232,77.983,-22.024,0
13.691,-1.0221,-0.0028421,0.18677,1.6816,0.10409,49.674,92.011,-22.055,0
14.253,-0.95237,0.035628,0.19371,1.7374,0.10575,42.306,106.03,-22.064,0
14.635,-0.93313,0.075544,0.19702,1.7616,0.10638,36.414,120.03,-22.063,0
14.874,-0.9559,0.12498,0.19653,1.7665,0.10648,30.878,134.01,-22.062,0
15.005,-0.97238,0.17462,0.19595,1.7657,0.1064,24.857,148,-22.065,0
15.039,-0.95788,0.21752,0.19888,1.7786,0.10661,18.259,161.99,-22.072,0
14.984,-0.91233,0.24662,0.20554,1.8105,0.10726,11.507,175.98,-22.078,0
