"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.015,-0.044619,0.0083418,0.10093,1.4599,0.12734,58.271,-20,-50,0
10.074,-0.085534,0.019018,0.096908,1.4211,0.12574,57.899,-5.9747,-50,0
10.254,-0.16398,0.04144,0.089565,1.348,0.12268,56.461,8.0399,-50,0
10.548,-0.23051,0.063881,0.083992,1.2899,0.12019,53.661,22.041,-50,0
10.925,-0.27503,0.082027,0.079075,1.2419,0.11808,49.683,36.029,-50,0
11.344,-0.29583,0.092063,0.073923,1.1876,0.11565,44.94,50.014,-50,0
11.78,-0.30284,0.092609,0.071128,1.1514,0.11399,39.866,64.003,-50,0
12.231,-0.29751,0.085385,0.071452,1.149,0.11388,34.534,78.002,-50,0
12.678,-0.269,0.071621,0.073643,1.1658,0.11465,28.874,92.007,-50,0
13.072,-0.22018,0.051237,0.077463,1.1999,0.11619,23.36,106.01,-50,0
13.386,-0.16988,0.025483,0.082224,1.2456,0.11823,18.704,120.01,-50,0
13.642,-0.13403,-0.00081385,0.087092,1.295,0.12038,15.07,134.01,-50,0
13.873,-0.11641,-0.018585,0.091365,1.3409,0.12235,12.079,148,-50,0
14.1,-0.11109,-0.024967,0.094572,1.378,0.12391,9.3137,162,-50,0
14.328,-0.11063,-0.023801,0.096575,1.4038,0.12497,6.5589,176,-50,0
14.553,-0.10963,-0.016771,0.097424,1.4182,0.12556,3.7474,190,-50,0
14.77,-0.10544,-0.0053026,0.097278,1.4223,0.12572,0.92305,204.01,-50,0
14.969,-0.097921,0.0084542,0.096429,1.4182,0.12555,-1.7531,218.01,-50,0
15.141,-0.087783,0.022339,0.09519,1.4088,0.12516,-4.0584,232.02,-50,0
15.281,-0.076674,0.034906,0.09385,1.3969,0.12466,-5.7698,246.03,-50,0
15.382,-0.059545,0.045613,0.092547,1.3843,0.12414,-6.7294,260.03,-50,0
15.435,-0.039497,0.05573,0.091318,1.3719,0.12362,-6.8034,274.03,-50,0
15.441,-0.03023,0.067155,0.090221,1.3602,0.12313,-5.9967,288.03,-50,0
15.413,-0.032542,0.078896,0.089276,1.3498,0.12269,-4.5158,302.02,-50,0
15.355,-0.037648,0.094532,0.088401,1.3402,0.12228,-2.5684,316.01,-50,0
15.318,-0.039572,0.10457,0.087958,1.3353,0.12208,-1.5005,330,-50,0
10.018,-0.092912,0.0094487,0.10092,1.4602,0.12736,59.157,-20,-35.965,0
10.081,-0.17537,0.021956,0.096817,1.4202,0.1257,58.751,-5.9661,-35.96,0
10.273,-0.33407,0.048351,0.089653,1.348,0.12268,57.217,8.0532,-35.952,0
10.586,-0.46973,0.074634,0.08383,1.2893,0.12017,54.224,22.052,-35.945,0
10.988,-0.55892,0.095439,0.078016,1.2314,0.11761,49.958,36.034,-35.946,0
11.427,-0.60016,0.10681,0.07365,1.1814,0.11537,44.961,50.009,-35.959,0
11.881,-0.62324,0.1076,0.074042,1.1748,0.11506,39.747,63.995,-35.983,0
12.355,-0.62571,0.10001,0.078581,1.2142,0.11679,34.248,77.996,-36.009,0
12.83,-0.57001,0.085098,0.085498,1.2739,0.11937,28.299,92.008,-36.026,0
13.245,-0.46294,0.061265,0.094053,1.3493,0.12253,22.59,106.02,-36.033,0
13.568,-0.35519,0.0303,0.10218,1.4281,0.12575,18,120.02,-36.034,0
13.826,-0.28641,0.00056162,0.10864,1.4926,0.12835,14.592,134.01,-36.033,0
14.058,-0.26207,-0.01548,0.1135,1.544,0.13039,11.813,148,-36.034,0
14.284,-0.26349,-0.013701,0.11705,1.5838,0.13195,9.1497,161.99,-36.037,0
14.507,-0.27249,-0.0019437,0.11985,1.6151,0.13314,6.3958,175.99,-36.04,0
14.721,-0.27996,0.014725,0.12252,1.6436,0.13419,3.5245,189.99,-36.043,0
14.915,-0.28034,0.035476,0.12484,1.6683,0.13507,0.62883,204,-36.043,0
15.077,-0.27144,0.058024,0.12689,1.689,0.13578,-2.0917,218.01,-36.042,0
15.201,-0.25435,0.079344,0.12859,1.7047,0.13628,-4.4016,232.02,-36.04,0
15.284,-0.2363,0.097975,0.13083,1.7221,0.13683,-6.0765,246.03,-36.036,0
15.321,-0.21027,0.11093,0.13281,1.739,0.13736,-7.0227,260.04,-36.032,0
15.303,-0.17571,0.11756,0.13292,1.7424,0.13742,-6.9903,274.04,-36.029,0
15.235,-0.15369,0.12277,0.13228,1.7374,0.13721,-5.9642,288.03,-36.025,0
15.138,-0.14977,0.12812,0.13142,1.7296,0.1369,-4.362,302.02,-36.023,0
15.013,-0.152,0.13427,0.12922,1.7132,0.13631,-2.4761,316.01,-36.021,0
14.942,-0.15226,0.13787,0.12751,1.701,0.13588,-1.493,330,-36.02,0
10.021,-0.18782,0.0148,0.10122,1.4594,0.12732,61.984,-20,-21.939,0
10.061,-0.32108,0.024654,0.12011,1.4218,0.11096,61.287,-5.948,-21.928,0
10.247,-0.66056,0.046978,0.12799,1.316,0.092784,59.202,8.0822,-21.91,0
10.609,-0.93779,0.067594,0.11521,1.2344,0.090302,55.691,22.078,-21.895,0
11.107,-1.1104,0.082229,0.10351,1.1553,0.087705,50.471,36.043,-21.893,0
11.621,-1.1569,0.089252,0.09981,1.1155,0.086255,44.718,49.996,-21.917,0
12.102,-1.191,0.086063,0.1089,1.1568,0.087512,39.431,63.973,-21.97,0
12.66,-1.2244,0.073025,0.12968,1.2762,0.091169,33.568,77.983,-22.024,0
13.265,-1.0901,0.055599,0.15239,1.4143,0.095283,26.42,92.011,-22.055,0
13.734,-0.81932,0.029586,0.17037,1.5325,0.098924,20.062,106.03,-22.064,0
14.027,-0.55275,-0.0021182,0.18261,1.6222,0.10182,15.809,120.03,-22.063,0
14.222,-0.39637,-0.032728,0.19014,1.6793,0.10368,13.23,134.01,-22.062,0
14.402,-0.3671,-0.042469,0.19644,1.7233,0.10504,11.151,148,-22.065,0
14.584,-0.40605,-0.025602,0.20338,1.7675,0.10626,8.7551,161.99,-22.072,0
14.74,-0.46869,0.0083339,0.21262,1.8188,0.10754,5.9622,175.98,-22.078,0
14.842,-0.51427,0.046816,0.22519,1.8845,0.10913,2.9706,189.99,-22.083,0
14.871,-0.53163,0.086769,0.23856,1.9555,0.1108,-0.014731,204,-22.085,0
14.821,-0.5225,0.12194,0.25039,2.0196,0.11233,-2.7599,218.01,-22.083,0
14.704,-0.49129,0.14668,0.25978,2.0713,0.11358,-5.0248,232.03,-22.077,0
14.53,-0.4454,0.16108,0.26662,2.1138,0.11471,-6.5065,246.04,-22.069,0
14.119,-0.34911,0.1649,0.27686,2.4983,0.14395,-7.0552,260.05,-22.061,0
13.772,-0.2737,0.15771,0.27256,2.8042,0.17127,-6.9942,274.05,-22.055,0
13.604,-0.23264,0.14571,0.25578,2.7042,0.16867,-5.7488,288.04,-22.049,0
13.424,-0.21066,0.13239,0.24157,2.6146,0.16627,-3.9934,302.03,-22.044,0
13.222,-0.20665,0.11742,0.22544,2.5082,0.16324,-2.2134,316.02,-22.04,0
13.108,-0.20742,0.10845,0.21402,2.4323,0.16106,-1.3633,330,-22.038,0
10.002,-0.1949,0.012963,0.15226,1.4619,0.09708,66.091,-20,-7.9247,0
10.012,-0.50602,0.030308,0.16187,1.3891,0.080365,66.191,-5.9205,-7.9084,0
10.215,-1.1709,0.059257,0.16149,1.2578,0.062284,64.299,8.1214,-7.8844,0
10.721,-1.8112,0.084504,0.14104,1.1514,0.059772,59.407,22.12,-7.8562,0
11.532,-2.1456,0.11178,0.13397,1.0989,0.058492,50.889,36.057,-7.8408,0
12.21,-2.0191,0.11577,0.17917,1.2865,0.062803,42.942,49.966,-7.8699,0
12.593,-2.0275,0.064115,0.24551,1.5953,0.06929,39.622,63.929,-7.9642,0
13.349,-2.3238,0.032085,0.30195,1.8536,0.074399,32.973,77.961,-8.0504,0
14.133,-2.0798,0.099147,0.40507,2.2643,0.081492,20.354,92.024,-8.0881,0
14.337,-1.48,0.16391,0.45401,2.4676,0.08483,12.04,106.05,-8.0914,0
14.17,-0.89929,0.15831,0.44067,2.4474,0.084718,9.3881,120.04,-8.0833,0
13.876,-0.54282,0.10386,0.40285,2.3207,0.082762,9.8345,134.02,-8.0822,0
13.611,-0.46285,0.081111,0.38868,2.2659,0.081864,9.7643,147.99,-8.0911,0
13.351,-0.49578,0.08515,0.39766,2.3009,0.082435,7.8784,161.97,-8.1029,0
13.034,-0.53918,0.10124,0.4151,2.3714,0.083587,4.9987,175.97,-8.1138,0
12.662,-0.55993,0.10864,0.42876,2.4276,0.084506,1.9059,189.97,-8.1222,0
12.278,-0.5497,0.097814,0.43393,2.4511,0.084895,-1.0232,203.99,-8.1253,0
11.919,-0.50654,0.075229,0.43112,2.4445,0.084793,-3.6431,218.02,-8.1211,0
11.601,-0.43449,0.043953,0.42543,2.4236,0.084457,-5.7498,232.04,-8.1108,0
11.332,-0.34513,0.014632,0.41737,2.393,0.083959,-7.0358,246.06,-8.0992,0
11.168,-0.25128,0.037439,0.40274,2.6652,0.11093,-7.2137,260.07,-8.092,0
10.896,-0.15841,0.075207,0.35413,3.0701,0.16095,-6.0579,274.06,-8.0809,0
10.56,-0.090404,0.068986,0.30908,3.1093,0.18102,-5.0298,288.05,-8.0724,0
10.412,-0.061719,0.047628,0.27974,2.9152,0.17565,-3.3788,302.04,-8.0642,0
10.253,-0.055455,0.022675,0.2512,2.7186,0.16995,-1.7746,316.02,-8.058,0
10.163,-0.05993,0.0090533,0.23177,2.5833,0.16598,-1.0335,330,-8.0547,0
9.9905,-0.18797,0.011174,0.20345,1.4666,0.066911,73.953,-20,6.0748,0
9.9809,-0.75514,0.044939,0.18094,1.3577,0.064546,73.806,-5.8987,6.0894,0
9.978,-1.5543,0.041707,0.29069,1.1724,0.031686,72.873,8.1714,6.122,0
10.492,-2.9408,0.056219,0.23405,1.017,0.029665,66.7,22.193,6.1706,0
12.144,-3.8202,0.04997,0.24742,1.0192,0.029689,47.68,36.09,6.2034,0
13.307,-2.5456,0.037551,0.39695,1.3877,0.034251,32.042,49.885,6.2,0
11.976,-1.9241,-0.065809,0.49975,1.632,0.036899,44.423,63.847,6.0213,0
10.646,-2.9614,0.2838,1.1594,2.9191,0.04818,38.508,77.918,5.9012,0
10.277,-2.7934,0.31138,1.1971,3.0483,0.049343,11.39,92.071,5.8682,0
8.0909,-1.8457,0.39135,0.70823,2.137,0.041799,4.2835,106.1,5.8858,0
6.2093,-0.92475,0.22908,0.50743,1.7058,0.037715,1.6305,120.06,5.9092,0
7.2894,0.065338,-0.07281,0.4968,1.7019,0.037695,5.4866,134.02,5.9031,0
8.2191,0.23062,-0.15316,0.49847,1.7192,0.037869,8.0708,147.98,5.8781,0
8.5658,0.078701,-0.1135,0.46947,1.6497,0.037133,6.9438,161.95,5.8567,0
8.5969,-0.093629,-0.079752,0.42702,1.5453,0.036001,4.512,175.94,5.8407,0
8.5233,-0.22624,-0.067837,0.38435,1.437,0.034792,1.6774,189.95,5.8277,0
8.4498,-0.27589,-0.064342,0.34807,1.341,0.033685,-1.2545,203.98,5.8222,0
8.3917,-0.23544,-0.062081,0.32043,1.265,0.032785,-3.9874,218.02,5.829,0
8.325,-0.14203,-0.056308,0.30038,1.209,0.032105,-6.0662,232.07,5.847,0
8.2244,-0.047157,-0.04505,0.28555,1.1673,0.031589,-6.8791,246.09,5.8674,0
8.0521,0.013255,-0.0061696,0.24317,1.6583,0.070602,-6.5765,260.09,5.8783,0
7.961,0.039947,0.034888,0.21658,1.9682,0.11354,-5.3928,274.08,5.8902,0
7.938,0.044754,0.052018,0.2026,2.304,0.15598,-4.1786,288.07,5.9038,0
7.8372,0.06834,0.037314,0.18198,2.1532,0.15127,-2.7755,302.05,5.9161,0
7.7373,0.078552,0.015662,0.1629,2.0071,0.14646,-1.4059,316.02,5.9251,0
7.6857,0.075662,0.0032624,0.15113,1.9167,0.1435,-0.76481,330,5.9299,0
9.9817,-0.19705,0.016688,0.20325,1.4672,0.066929,82.363,-20,20.058,0
9.8351,-0.81649,0.066004,0.18084,1.3565,0.064521,82.96,-5.8863,20.066,0
9.3059,-1.8142,0.089454,0.28571,1.1586,0.031512,86.672,8.2045,20.087,0
8.6741,-4.4052,0.094508,0.21578,0.96144,0.028906,86.313,22.251,20.188,0
-1.8267,0.7453,-0.52871,1.3704,2.929,0.04304,5.3615,49.699,20.296,0
-2.3024,1.075,0.24255,2.0069,4.2904,0.057803,36.762,63.752,19.954,0
4.9258,-8.2771,0.077024,1.3971,3.3495,0.051279,21.43,77.747,19.801,0
-1.5121,-0.09364,0.10345,0.29104,1.1454,0.031341,2.9852,92.26,19.776,0
-1.4237,-1.8547,-0.16884,0.43581,1.5046,0.035601,2.2919,106.15,19.891,0
-0.75346,-2.2744,-0.25994,0.56642,1.7929,0.038664,2.5115,120.08,19.931,0
0.69802,-1.24,-0.31714,0.56682,1.8426,0.039169,5.9483,134.01,19.881,0
2.9067,-0.27268,-0.32852,0.4233,1.5518,0.036156,7.8791,147.95,19.81,0
4.5467,0.038977,-0.20976,0.29795,1.2185,0.032294,6.9468,161.91,19.771,0
5.563,0.030285,-0.13768,0.23002,1.0081,0.029547,4.6477,175.9,19.752,0
6.277,-0.044438,-0.10231,0.20707,0.92155,0.028331,1.6333,189.9,19.735,0
6.8307,-0.05435,-0.083323,0.20035,0.89831,0.027994,-1.8288,203.95,19.726,0
7.2131,0.052741,-0.070448,0.19823,0.89114,0.027888,-4.9997,218.04,19.737,0
7.3852,0.18311,-0.059711,0.1972,0.88836,0.027849,-6.8006,232.11,19.767,0
7.379,0.24156,-0.041356,0.19476,0.88233,0.027763,-6.869,246.13,19.808,0
7.0884,0.19315,0.0039903,0.14532,1.1533,0.05978,-6.1594,260.13,19.836,0
6.7927,0.16859,0.058405,0.12435,1.3281,0.094532,-4.7534,274.11,19.858,0
6.5758,0.15079,0.066977,0.10589,1.4969,0.1285,-3.7751,288.08,19.88,0
6.4494,0.16479,0.061895,0.097823,1.4244,0.12558,-2.5136,302.06,19.897,0
6.3302,0.16958,0.04798,0.088592,1.3414,0.12209,-1.2827,316.03,19.91,0
6.2718,0.16509,0.038272,0.083078,1.2914,0.11993,-0.6995,330,19.917,0
9.9729,-0.16467,0.022399,0.20323,1.4679,0.066957,90.263,-20,34.034,0
9.7135,-0.67368,0.089332,0.18073,1.355,0.064499,91.538,-5.9111,34.034,0
8.7027,-1.2884,0.12845,0.2807,1.1452,0.031343,99.549,8.1761,34.009,0
6.1564,-1.35,0.1736,0.23951,0.89922,0.024814,117.79,22.359,33.805,0
-1.6894,3.083,0.10661,0.85481,1.5093,0.018771,21.855,49.712,33.67,0
3.4618,-4.1283,-0.37969,1.316,3.1153,0.049829,19.349,63.791,33.869,0
-0.020157,-7.8564,-1.4815,1.9582,2.6256,0.024185,80.458,77.736,34,0
-0.69338,0.54815,0.19768,0.23175,0.7889,0.020707,0.28058,92.07,33.977,0
-1.8098,-1.0861,-0.10814,0.28276,1.0704,0.030512,0.2758,106.11,34.069,0
-0.50122,-1.697,-0.34224,0.29809,1.159,0.031755,4.8494,120.09,34.043,0
0.64741,-1.0584,-0.27195,0.23638,1.0255,0.029968,7.3341,133.98,33.848,0
2.0148,-0.60835,-0.19267,0.17898,0.8642,0.027663,8.0604,147.9,33.677,0
3.2026,-0.43222,-0.091359,0.14238,0.73239,0.025568,7.0705,161.86,33.623,0
4.2037,-0.49673,-0.029057,0.13494,0.68856,0.024784,5.1724,175.82,33.618,0
5.1493,-0.5967,0.00025835,0.14417,0.71239,0.025153,2.2014,189.82,33.603,0
6.0981,-0.53339,0.00749,0.15857,0.75857,0.02589,-2.418,203.87,33.59,0
6.7501,-0.078119,0.0011752,0.1713,0.80061,0.026543,-6.7766,218.08,33.616,0
6.9652,0.31568,-0.011826,0.18045,0.83069,0.026997,-8.3035,232.22,33.649,0
6.9424,0.46479,-0.022845,0.18621,0.85002,0.027287,-7.5273,246.21,33.734,0
6.6628,0.42642,-0.014746,0.14188,1.125,0.059099,-6.0959,260.18,33.79,0
6.2712,0.37108,0.030778,0.11647,1.2439,0.091365,-4.4546,274.14,33.827,0
5.9448,0.33387,0.031673,0.090961,1.3414,0.12232,-3.5947,288.1,33.858,0
5.7872,0.31678,0.031908,0.082698,1.2671,0.11913,-2.3793,302.06,33.882,0
5.635,0.28695,0.024651,0.071302,1.1579,0.11417,-1.2249,316.03,33.898,0
5.5584,0.26491,0.018266,0.063392,1.0796,0.11056,-0.68433,330,33.906,0
9.9708,-0.12024,0.027372,0.20315,1.468,0.066993,96.341,-20,48.009,0
9.6822,-0.48771,0.11102,0.18063,1.3552,0.064526,97.809,-5.9817,48.02,0
8.6775,-0.98211,0.15508,0.28038,1.1442,0.031336,105.9,7.9912,48.042,0
8.2113,-2.2829,0.18805,0.20528,0.92865,0.028441,109.76,21.83,48.132,0
12.55,1.052,0.14695,0.49512,1.2532,0.025135,61.056,36.242,48.39,0
12.178,0.47244,0.21703,0.7329,2.0823,0.041292,57.305,49.829,47.791,0
9.8638,-4.4396,0.22817,1.9274,3.2481,0.039328,44.268,63.652,47.629,0
1.5851,8.891,-0.67823,2.2146,2.9246,0.02544,68.081,77.736,47.873,0
1.169,-2.6992,-0.25938,0.42829,0.95012,0.015272,-4.8471,92.168,48.195,0
1.1576,-0.3633,-0.6835,0.2161,0.9693,0.03003,1.4274,106.04,48.638,0
0.42474,-0.39875,-0.21238,0.18618,0.81038,0.027349,5.4988,120.23,48.219,0
0.25451,-1.6031,0.17582,0.11433,0.62805,0.024022,7.145,133.9,47.785,0
1.9817,-1.3467,-0.081729,0.13338,0.69459,0.025048,7.3725,147.86,47.452,0
2.4484,-0.78545,-0.11995,0.1222,0.64209,0.024035,7.2617,161.82,47.429,0
2.7847,-1.0645,-0.11226,0.1403,0.70686,0.025,6.3362,175.74,47.477,0
3.9013,-1.2812,-0.20126,0.1875,0.86964,0.027554,3.4476,189.77,47.496,0
5.1835,-1.5617,-0.1149,0.26569,0.84828,0.021041,-3.2434,203.59,47.382,0
6.1646,-0.021101,-0.077859,0.23322,0.80504,0.020803,-10.962,218.11,47.587,0
6.0403,0.59207,-0.069056,0.21362,0.92898,0.028421,-11.056,232.4,47.538,0
5.9237,0.75372,-0.033734,0.18911,0.85773,0.027402,-8.8383,246.28,47.701,0
5.3908,0.74594,0.022697,0.15926,1.2057,0.061017,-6.4159,260.21,47.762,0
5.1224,0.67183,-0.018618,0.12936,1.3311,0.094309,-4.3865,274.15,47.804,0
4.8462,0.59251,-0.061306,0.09614,1.3977,0.12466,-3.446,288.11,47.842,0
4.804,0.54563,-0.059766,0.080246,1.2503,0.11837,-2.2023,302.07,47.871,0
4.7315,0.48183,-0.057349,0.064979,1.0903,0.11095,-1.0933,316.03,47.89,0
4.6879,0.44261,-0.056595,0.056184,0.99171,0.10626,-0.5863,330,47.9,0
9.9731,-0.090615,0.031308,0.20297,1.4682,0.067057,100.68,-20,61.97,0
9.7128,-0.33949,0.13096,0.1806,1.356,0.064592,102,-6.0291,61.992,0
8.4724,-0.36351,0.19552,0.28055,1.1449,0.031359,111.64,7.8957,62.038,0
4.3328,-0.24417,0.33457,0.185,0.86318,0.027497,136.55,21.826,62.055,0
-2.3386,1.2267,0.20068,1.1241,2.8429,0.047737,57.936,49.913,62.007,0
-0.48845,-2.3805,0.21073,0.16358,0.49356,0.011136,-13.739,77.409,61.985,0
-1.0233,0.09206,0.081553,0.12664,0.54827,0.018058,4.4263,120.02,62.015,0
0.24662,-2.9453,-0.0014086,0.16617,0.75269,0.026025,7.2413,133.59,61.836,0
-0.60857,-0.054871,-0.38268,0.13264,0.53961,0.016977,7.231,161.85,61.407,0
0.89352,-0.32365,-0.63542,0.22736,0.79384,0.020372,7.8652,175.85,61.434,0
0.52672,-0.17577,0.066431,0.065735,0.24759,0.0081403,2.4019,190.03,61.638,0
0.25322,1.6168,-0.17735,0.10316,0.34759,0.0095352,5,203.8,61.977,0
-0.31506,-0.25119,0.049074,0.13431,0.67619,0.024555,-11.741,232.29,61.854,0
-0.11368,-0.34604,-0.18678,0.23618,0.98591,0.029223,-8.9347,246.26,61.743,0
1.3026,0.3342,-0.28413,0.18654,1.3593,0.064513,-6.5746,260.2,61.752,0
2.5219,0.67715,-0.26314,0.12016,1.2873,0.092457,-4.7128,274.14,61.791,0
3.0839,0.70285,-0.23046,0.083101,1.2784,0.11935,-3.4308,288.1,61.834,0
3.2862,0.6771,-0.19371,0.064843,1.0871,0.11069,-2.1358,302.06,61.867,0
3.4106,0.62557,-0.16348,0.052872,0.94806,0.10391,-0.99942,316.03,61.889,0
3.4612,0.59024,-0.14809,0.047616,0.88276,0.10063,-0.47391,330,61.9,0
9.9978,-0.1583,0.032879,0.20287,1.4668,0.067116,105.05,-20,75.91,0
10.067,-0.5893,0.14842,0.1809,1.3599,0.064759,104.65,-6.0198,75.916,0
9.9914,-0.11993,0.14124,0.29186,1.177,0.031798,103.02,7.9131,75.962,0
9.5767,2.6802,0.14989,0.2265,0.99761,0.029418,102.23,21.731,76.05,0
11.084,-0.16632,0.14918,0.55713,1.3857,0.026499,70.935,36.17,75.965,0
11.842,-8.2446,0.2701,1.4209,2.6532,0.035912,27.01,49.613,76.165,0
12.153,5.0679,0.085745,2.6124,3.762,0.036371,-23.242,63.813,76.415,0
6.6101,-1.1838,0.26545,1.3744,2.1373,0.022057,9.1897,77.974,76.396,0
2.8575,-1.9767,-0.013505,0.11824,0.55491,0.018147,2.2965,120.2,76.262,0
2.2235,-2.3776,0.22623,0.15032,0.64794,0.021537,8.4785,133.62,75.886,0
3.6166,0.18534,-0.21906,0.16207,0.466,0.010912,4.5435,147.94,76.5,0
-0.3561,1.5149,-0.17455,0.087748,0.32765,0.0092554,5.8997,203.62,76.033,0
3.1908,-0.12986,-0.10271,0.16995,0.78238,0.026217,-11.545,232.34,75.799,0
2.7063,0.01543,0.067223,0.17036,0.8032,0.026589,-8.4707,246.22,75.673,0
1.928,0.61106,-0.012971,0.15823,1.2046,0.061012,-6.4462,260.15,75.727,0
1.8364,0.75506,-0.14555,0.099497,1.1312,0.087366,-4.7223,274.11,75.787,0
2.162,0.7952,-0.17235,0.069226,1.1318,0.11294,-3.3827,288.07,75.838,0
2.2051,0.74502,-0.18,0.052862,0.94604,0.10394,-2.1234,302.05,75.874,0
2.3122,0.67958,-0.16773,0.044601,0.84141,0.098455,-1.0087,316.02,75.896,0
2.373,0.63939,-0.15806,0.042077,0.80659,0.096551,-0.46851,330,75.907,0
10.034,-0.44959,0.04588,0.20245,1.4669,0.067183,116.84,-20,89.861,0
10.45,-1.9531,0.235,0.18254,1.3668,0.064941,113.82,-5.9733,89.827,0
