"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.015,-0.04198,0.0064794,0.10059,1.4564,0.1272,125.57,-20,-50,0
10.071,-0.08055,0.016677,0.09717,1.4218,0.12577,125.18,-5.9747,-50,0
10.244,-0.1577,0.038578,0.09014,1.3545,0.12296,123.68,8.0399,-50,0
10.537,-0.22775,0.060424,0.082888,1.283,0.11989,120.68,22.041,-50,0
10.937,-0.27641,0.075055,0.078488,1.2293,0.11753,116.21,36.029,-50,0
11.406,-0.30017,0.077224,0.078809,1.2216,0.11719,110.51,50.014,-50,0
11.91,-0.30948,0.066679,0.082391,1.2508,0.11848,104.04,64.003,-50,0
12.433,-0.30816,0.05097,0.087872,1.3026,0.12073,97.104,78.002,-50,0
12.953,-0.29125,0.041488,0.093315,1.3598,0.12317,89.895,92.007,-50,0
13.426,-0.26429,0.04061,0.097328,1.4061,0.12511,82.962,106.01,-50,0
13.821,-0.24013,0.044845,0.099524,1.4354,0.12632,76.835,120.01,-50,0
14.15,-0.22461,0.054216,0.10002,1.4477,0.12682,71.319,134.01,-50,0
14.442,-0.21466,0.069336,0.09914,1.4454,0.12671,65.639,148,-50,0
14.72,-0.20516,0.089393,0.097435,1.4325,0.12617,59.13,162,-50,0
14.992,-0.19397,0.11241,0.095436,1.4144,0.12541,51.625,176,-50,0
15.258,-0.18024,0.13381,0.09354,1.3953,0.12461,43.314,190,-50,0
15.516,-0.1638,0.15072,0.091963,1.3783,0.1239,34.532,204.01,-50,0
15.754,-0.1457,0.16381,0.090749,1.3647,0.12332,25.781,218.01,-50,0
15.955,-0.1274,0.17452,0.089832,1.3541,0.12287,17.709,232.02,-50,0
16.102,-0.11007,0.18385,0.089117,1.3457,0.12251,10.928,246.03,-50,0
16.19,-0.089343,0.19089,0.088552,1.339,0.12223,5.8151,260.03,-50,0
16.221,-0.070304,0.1951,0.088103,1.3335,0.12199,2.446,274.03,-50,0
16.214,-0.066509,0.19796,0.087744,1.3289,0.1218,0.57479,288.03,-50,0
16.191,-0.07689,0.20002,0.087441,1.325,0.12164,-0.26119,302.02,-50,0
16.164,-0.088157,0.20176,0.087188,1.3215,0.12149,-0.44506,316.01,-50,0
16.151,-0.091833,0.20277,0.087074,1.3198,0.12142,-0.40763,330,-50,0
10.017,-0.086016,0.0075391,0.10073,1.457,0.12722,126.43,-20,-35.965,0
10.077,-0.16093,0.019299,0.097281,1.4235,0.12584,126.01,-5.9661,-35.96,0
10.261,-0.31407,0.044566,0.089596,1.3505,0.12278,124.44,8.0532,-35.952,0
10.576,-0.45838,0.068707,0.082514,1.2767,0.11961,121.27,22.052,-35.945,0
11.003,-0.55398,0.081949,0.08081,1.2415,0.11807,116.5,36.034,-35.946,0
11.494,-0.58943,0.077271,0.086148,1.2813,0.11977,110.57,50.009,-35.959,0
12.016,-0.5976,0.057802,0.096239,1.3714,0.12354,104.06,63.995,-35.983,0
12.575,-0.59399,0.041867,0.1072,1.4753,0.12772,97.063,77.996,-36.009,0
13.155,-0.57459,0.047489,0.11451,1.5604,0.13107,89.667,92.008,-36.026,0
13.681,-0.55246,0.068149,0.11756,1.6038,0.13278,82.61,106.02,-36.033,0
14.1,-0.54371,0.094811,0.11853,1.6215,0.13349,76.483,120.02,-36.034,0
14.422,-0.54838,0.12768,0.11819,1.6252,0.13365,70.951,134.01,-36.033,0
14.684,-0.55419,0.16135,0.11678,1.6183,0.13338,65.16,148,-36.034,0
14.913,-0.54842,0.19223,0.11538,1.6084,0.13298,58.481,161.99,-36.037,0
15.115,-0.52698,0.21979,0.11471,1.6017,0.13268,50.831,175.99,-36.04,0
15.296,-0.49127,0.24049,0.11473,1.5994,0.13254,42.454,189.99,-36.043,0
15.457,-0.44542,0.25089,0.11544,1.6035,0.13263,33.697,204,-36.043,0
15.593,-0.39449,0.25227,0.11677,1.6146,0.13298,25.042,218.01,-36.042,0
15.695,-0.34221,0.24817,0.11749,1.6237,0.13327,17.106,232.02,-36.04,0
15.753,-0.2941,0.24127,0.11719,1.6238,0.13324,10.463,246.03,-36.036,0
15.765,-0.24645,0.23129,0.11634,1.6179,0.13301,5.419,260.04,-36.032,0
15.724,-0.20614,0.21855,0.11483,1.6068,0.1326,2.19,274.04,-36.029,0
15.639,-0.19298,0.20576,0.11292,1.59,0.13198,0.57385,288.03,-36.025,0
15.545,-0.20246,0.19474,0.11065,1.5686,0.1312,-0.10145,302.02,-36.023,0
15.458,-0.21344,0.18288,0.10786,1.5418,0.13021,-0.30635,316.01,-36.021,0
15.417,-0.21638,0.17598,0.1063,1.5264,0.12964,-0.33178,330,-36.02,0
10.017,-0.16987,0.012342,0.10103,1.4606,0.12737,129.06,-20,-21.939,0
10.053,-0.28474,0.022162,0.12052,1.4237,0.11109,128.4,-5.948,-21.928,0
10.23,-0.62576,0.042853,0.12795,1.3161,0.092767,126.39,8.0822,-21.91,0
10.6,-0.9157,0.060092,0.11321,1.2178,0.089723,122.78,22.078,-21.895,0
11.142,-1.0896,0.061109,0.11471,1.2021,0.089182,116.93,36.043,-21.893,0
11.732,-1.0944,0.033098,0.13664,1.3173,0.092721,110.22,49.996,-21.917,0
12.304,-1.0568,-0.017263,0.16318,1.4909,0.097989,103.87,63.973,-21.97,0
12.99,-1.0581,-0.026294,0.17842,1.6162,0.10203,96.553,77.983,-22.024,0
13.721,-1.0684,0.016079,0.1879,1.6993,0.1047,88.063,92.011,-22.055,0
14.283,-1.0598,0.071251,0.19302,1.7405,0.10586,80.695,106.03,-22.064,0
14.624,-1.075,0.12754,0.19506,1.7568,0.10623,74.938,120.03,-22.063,0
14.782,-1.1089,0.18589,0.19322,1.7534,0.10611,69.708,134.01,-22.062,0
14.809,-1.1227,0.23447,0.19206,1.748,0.1059,63.889,148,-22.065,0
14.739,-1.0948,0.26919,0.19485,1.7591,0.10605,56.975,161.99,-22.072,0
14.601,-1.0266,0.28619,0.2013,1.7894,0.10666,49.117,175.98,-22.078,0
14.432,-0.93343,0.28377,0.2084,1.8259,0.10746,40.738,189.99,-22.083,0
14.27,-0.82988,0.26433,0.21481,1.8626,0.10836,32.175,204,-22.085,0
14.137,-0.72558,0.23472,0.21918,1.8951,0.10927,23.785,218.01,-22.083,0
14.031,-0.62172,0.20207,0.22035,1.9125,0.10984,16.107,232.03,-22.077,0
13.93,-0.51647,0.172,0.21858,1.9108,0.10988,9.7266,246.04,-22.069,0
13.696,-0.34453,0.13518,0.22534,2.2359,0.13691,4.7987,260.05,-22.061,0
13.489,-0.21169,0.10189,0.22022,2.485,0.16188,1.8972,274.05,-22.055,0
13.366,-0.17927,0.083369,0.20071,2.3494,0.15799,0.68868,288.04,-22.049,0
13.199,-0.20588,0.067563,0.18593,2.2381,0.15464,0.2799,302.03,-22.044,0
13.048,-0.23328,0.050651,0.16942,2.1107,0.15061,0.027058,316.02,-22.04,0
12.976,-0.23849,0.04065,0.15891,2.028,0.14797,-0.10395,330,-22.038,0
9.9986,-0.17458,0.011492,0.15197,1.464,0.097175,132.74,-20,-7.9247,0
9.9976,-0.41643,0.027066,0.16208,1.3879,0.080364,132.89,-5.9205,-7.9084,0
10.215,-1.1149,0.062487,0.1604,1.2558,0.062233,131.07,8.1214,-7.8844,0
10.733,-1.7265,0.076812,0.14986,1.1767,0.060384,126.15,22.12,-7.8562,0
11.567,-1.9799,0.030747,0.21025,1.4107,0.065536,117.46,36.057,-7.8408,0
12.389,-1.8838,-0.046313,0.28478,1.7909,0.073215,108.63,49.966,-7.8699,0
