"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.015,-0.044126,0.0094671,0.10087,1.4594,0.12732,49.292,-20,-50,0
10.073,-0.08686,0.021768,0.096925,1.4209,0.12573,48.936,-5.9747,-50,0
10.253,-0.16943,0.047962,0.089748,1.3494,0.12274,47.541,8.0399,-50,0
10.546,-0.23972,0.075061,0.083899,1.2905,0.12022,44.799,22.041,-50,0
10.919,-0.2854,0.098544,0.078572,1.2365,0.11784,40.89,36.029,-50,0
11.323,-0.3018,0.11453,0.074513,1.1908,0.1158,36.238,50.014,-50,0
11.717,-0.2994,0.12078,0.071416,1.1592,0.11435,31.401,64.003,-50,0
12.094,-0.28929,0.11857,0.06766,1.1203,0.11254,26.685,78.002,-50,0
12.457,-0.26746,0.11246,0.065087,1.088,0.11101,22.036,92.007,-50,0
12.783,-0.23037,0.10495,0.06435,1.0772,0.1105,17.635,106.01,-50,0
13.042,-0.1845,0.094004,0.064362,1.0746,0.11037,13.953,120.01,-50,0
13.233,-0.13614,0.074935,0.065097,1.0796,0.1106,11.204,134.01,-50,0
13.37,-0.091504,0.045086,0.06656,1.092,0.11118,9.2651,148,-50,0
13.475,-0.059138,0.014745,0.068773,1.1121,0.11212,7.8936,162,-50,0
13.575,-0.042169,-0.0088873,0.071713,1.1399,0.11341,6.7902,176,-50,0
13.685,-0.034968,-0.026915,0.075238,1.1744,0.11499,5.6838,190,-50,0
13.804,-0.030598,-0.037387,0.079068,1.2132,0.11673,4.4653,204.01,-50,0
13.924,-0.025894,-0.040553,0.082864,1.2529,0.1185,3.1939,218.01,-50,0
14.034,-0.019802,-0.039091,0.086294,1.2901,0.12012,1.99,232.02,-50,0
14.126,-0.012579,-0.036167,0.08913,1.3223,0.12151,0.98142,246.03,-50,0
14.196,0.00031666,-0.032873,0.091216,1.3474,0.12259,0.23796,260.03,-50,0
14.244,0.016196,-0.030422,0.092474,1.3646,0.12331,-0.19747,274.03,-50,0
14.274,0.022571,-0.029264,0.092989,1.374,0.12371,-0.3347,288.03,-50,0
14.294,0.01953,-0.028272,0.092943,1.377,0.12384,-0.28772,302.02,-50,0
14.305,0.015428,-0.024575,0.092506,1.3753,0.12377,-0.19669,316.01,-50,0
14.307,0.014018,-0.021473,0.092203,1.3735,0.12369,-0.15919,330,-50,0
10.017,-0.091706,0.010628,0.10082,1.459,0.1273,50.182,-20,-35.965,0
10.08,-0.17787,0.024946,0.096953,1.421,0.12574,49.798,-5.9661,-35.96,0
10.271,-0.3458,0.055696,0.089759,1.3497,0.12276,48.311,8.0532,-35.952,0
10.585,-0.49139,0.087748,0.083464,1.2864,0.12004,45.369,22.052,-35.945,0
10.986,-0.5858,0.11591,0.078115,1.2308,0.11759,41.143,36.034,-35.946,0
11.413,-0.61794,0.13574,0.074051,1.1867,0.11561,36.18,50.009,-35.959,0
11.82,-0.61598,0.14439,0.070393,1.1489,0.11387,31.174,63.995,-35.983,0
12.211,-0.60141,0.14454,0.067368,1.1147,0.11228,26.36,77.996,-36.009,0
12.593,-0.56004,0.14149,0.067024,1.1045,0.11179,21.533,92.008,-36.026,0
12.937,-0.49003,0.13628,0.06904,1.1205,0.11252,16.972,106.02,-36.033,0
13.21,-0.40769,0.12554,0.07179,1.1468,0.1137,13.266,120.02,-36.034,0
13.408,-0.31841,0.10406,0.075044,1.1773,0.11506,10.569,134.01,-36.033,0
13.543,-0.23022,0.069514,0.078393,1.2079,0.1164,8.731,148,-36.034,0
13.641,-0.16456,0.031197,0.081765,1.2397,0.11779,7.5176,161.99,-36.037,0
13.735,-0.13169,-0.0010296,0.085602,1.2744,0.11929,6.5671,175.99,-36.04,0
13.842,-0.12002,-0.024394,0.090459,1.3177,0.12115,5.5409,189.99,-36.043,0
13.961,-0.1138,-0.037545,0.096303,1.3723,0.12343,4.3351,204,-36.043,0
