"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.022,-0.047627,0.0052119,0.10061,1.4576,0.12724,46.003,-20,-50,0
10.092,-0.089752,0.013326,0.096925,1.4202,0.1257,45.548,-5.9747,-50,0
10.296,-0.16982,0.030705,0.090228,1.3541,0.12294,43.89,8.0399,-50,0
10.622,-0.23808,0.048038,0.08355,1.2904,0.12021,40.743,22.041,-50,0
11.046,-0.28603,0.060525,0.077816,1.2277,0.11745,36.241,36.029,-50,0
11.528,-0.31277,0.064268,0.076052,1.1994,0.11619,30.746,50.014,-50,0
12.034,-0.32696,0.057504,0.078023,1.2116,0.11673,24.741,64.003,-50,0
12.547,-0.32821,0.041342,0.08243,1.25,0.11844,18.498,78.002,-50,0
13.049,-0.30938,0.021813,0.08804,1.3048,0.12083,12.154,92.007,-50,0
13.509,-0.27598,0.0052154,0.093189,1.3595,0.12316,6.1173,106.01,-50,0
13.915,-0.24199,-0.0063833,0.096912,1.4025,0.12496,0.76663,120.01,-50,0
14.287,-0.21385,-0.010683,0.098975,1.4301,0.12609,-4.038,134.01,-50,0
14.647,-0.1905,-0.0051452,0.09947,1.4422,0.12658,-8.6665,148,-50,0
14.996,-0.16983,0.0098677,0.098701,1.4409,0.12652,-13.201,162,-50,0
15.323,-0.15192,0.03125,0.09714,1.4298,0.12605,-17.355,176,-50,0
15.613,-0.1387,0.055269,0.095276,1.4136,0.12537,-20.703,190,-50,0
15.854,-0.13104,0.080653,0.093496,1.3962,0.12464,-22.883,204.01,-50,0
16.035,-0.12808,0.10627,0.091996,1.3804,0.12398,-23.618,218.01,-50,0
16.151,-0.12833,0.12849,0.090809,1.3674,0.12343,-22.781,232.02,-50,0
16.207,-0.13197,0.14546,0.089864,1.3568,0.12298,-20.53,246.03,-50,0
16.21,-0.13337,0.1573,0.089089,1.348,0.12261,-17.314,260.03,-50,0
16.171,-0.12886,0.1644,0.088428,1.3403,0.12228,-13.667,274.03,-50,0
16.101,-0.12463,0.1685,0.087853,1.3333,0.12199,-9.9599,288.03,-50,0
16.014,-0.12513,0.17083,0.087355,1.3271,0.12173,-6.4093,302.02,-50,0
15.913,-0.12801,0.17626,0.086902,1.3214,0.12148,-3.1907,316.01,-50,0
15.857,-0.1292,0.18093,0.08668,1.3185,0.12136,-1.6846,330,-50,0
10.026,-0.09864,0.0064486,0.10059,1.4569,0.12722,46.935,-20,-35.965,0
10.099,-0.18342,0.016214,0.097115,1.4218,0.12577,46.435,-5.9661,-35.96,0
10.313,-0.3439,0.037181,0.090013,1.3536,0.12292,44.672,8.0532,-35.952,0
10.655,-0.4812,0.057832,0.082764,1.2814,0.11981,41.334,22.052,-35.945,0
11.102,-0.57713,0.071151,0.07827,1.2274,0.11744,36.545,36.034,-35.946,0
11.602,-0.62848,0.071166,0.080453,1.2354,0.11778,30.81,50.009,-35.959,0
12.122,-0.65283,0.057343,0.088052,1.2979,0.12046,24.66,63.995,-35.983,0
12.661,-0.64323,0.03633,0.098871,1.3929,0.12439,18.217,77.996,-36.009,0
13.204,-0.59174,0.020009,0.10923,1.4947,0.12846,11.6,92.008,-36.026,0
13.709,-0.52718,0.014877,0.11544,1.5676,0.13133,5.4072,106.02,-36.033,0
14.148,-0.4798,0.018833,0.11837,1.6074,0.1329,0.06528,120.02,-36.034,0
14.531,-0.45303,0.031998,0.11946,1.6257,0.13363,-4.6971,134.01,-36.033,0
14.88,-0.43793,0.056413,0.11937,1.6313,0.13385,-9.3146,148,-36.034,0
15.199,-0.42659,0.088562,0.11875,1.631,0.13382,-13.822,161.99,-36.037,0
15.473,-0.41508,0.12131,0.11834,1.63,0.13375,-17.884,175.99,-36.04,0
15.691,-0.40386,0.15118,0.11827,1.6303,0.1337,-21.077,189.99,-36.043,0
15.846,-0.39383,0.17825,0.11881,1.6341,0.13378,-23.075,204,-36.043,0
15.933,-0.38456,0.20023,0.12019,1.6437,0.13406,-23.639,218.01,-36.042,0
15.953,-0.37532,0.21391,0.12179,1.6579,0.13452,-22.666,232.02,-36.04,0
15.913,-0.37234,0.21882,0.12259,1.6693,0.13487,-20.316,246.03,-36.036,0
15.832,-0.36601,0.2153,0.12229,1.67,0.13486,-17.102,260.04,-36.032,0
15.721,-0.34363,0.20685,0.12115,1.662,0.13456,-13.495,274.04,-36.029,0
15.586,-0.31769,0.19755,0.11927,1.6468,0.13401,-9.7857,288.03,-36.025,0
15.443,-0.30027,0.18788,0.1167,1.6253,0.13323,-6.261,302.02,-36.023,0
15.287,-0.28852,0.18024,0.11325,1.5932,0.13207,-3.1275,316.01,-36.021,0
15.204,-0.28258,0.17755,0.11125,1.5724,0.13132,-1.6839,330,-36.02,0
10.028,-0.20219,0.012213,0.1008,1.4608,0.12738,49.872,-20,-21.939,0
10.075,-0.33421,0.020574,0.12056,1.423,0.11107,49.082,-5.948,-21.928,0
10.276,-0.66636,0.03864,0.12839,1.3191,0.092904,46.734,8.0822,-21.91,0
10.657,-0.94726,0.056233,0.1132,1.2219,0.089837,42.896,22.078,-21.895,0
11.199,-1.1337,0.062536,0.10796,1.1698,0.088133,37.093,36.043,-21.893,0
11.773,-1.1852,0.050068,0.12157,1.2333,0.090094,30.64,49.996,-21.917,0
12.336,-1.1764,0.0091933,0.14818,1.3861,0.09469,24.3,63.973,-21.97,0
12.984,-1.1244,-0.019025,0.16984,1.5376,0.09938,17.079,77.983,-22.024,0
13.662,-0.99186,-0.017282,0.18447,1.6526,0.10309,9.2447,92.011,-22.055,0
14.209,-0.8575,0.0026581,0.19335,1.7253,0.10534,2.7659,106.03,-22.064,0
14.606,-0.79729,0.028235,0.19774,1.7598,0.10633,-2.1122,120.03,-22.063,0
14.891,-0.80821,0.067173,0.1988,1.7734,0.10666,-6.4065,134.01,-22.062,0
15.083,-0.83454,0.11702,0.19897,1.7776,0.10673,-10.727,148,-22.065,0
15.175,-0.84592,0.16555,0.20214,1.7935,0.10703,-14.94,161.99,-22.072,0
15.158,-0.83916,0.20594,0.20913,1.8277,0.10774,-18.615,175.98,-22.078,0
15.048,-0.81965,0.23017,0.21741,1.8706,0.10868,-21.37,189.99,-22.083,0
14.874,-0.79484,0.23886,0.22533,1.9135,0.10967,-23.005,204,-22.085,0
14.664,-0.76403,0.23276,0.23196,1.9538,0.1107,-23.307,218.01,-22.083,0
14.436,-0.72654,0.21578,0.23575,1.9851,0.11162,-22.128,232.03,-22.077,0
14.192,-0.68534,0.19238,0.23615,2.0008,0.11218,-19.519,246.04,-22.069,0
13.794,-0.57994,0.15746,0.2438,2.3469,0.14003,-15.743,260.05,-22.061,0
13.455,-0.49248,0.12714,0.23878,2.6123,0.16574,-12.699,274.05,-22.055,0
13.285,-0.43547,0.10528,0.21872,2.4783,0.16201,-9.2955,288.04,-22.049,0
13.119,-0.3775,0.084231,0.20293,2.3668,0.15876,-5.9499,302.03,-22.044,0
12.936,-0.34308,0.067128,0.18564,2.2372,0.15476,-2.9814,316.02,-22.04,0
12.834,-0.3311,0.059381,0.17433,2.149,0.15201,-1.6209,330,-22.038,0
10.005,-0.2115,0.011584,0.15195,1.4652,0.09722,54.15,-20,-7.9247,0
10.018,-0.52995,0.028217,0.16187,1.3863,0.080338,54.205,-5.9205,-7.9084,0
10.225,-1.1464,0.056683,0.16177,1.2607,0.062349,52.059,8.1214,-7.8844,0
10.74,-1.8137,0.080735,0.14269,1.15,0.059745,46.878,22.12,-7.8562,0
11.572,-2.1519,0.07469,0.17792,1.2781,0.062661,37.782,36.057,-7.8408,0
12.361,-1.9887,0.010579,0.26524,1.6753,0.070907,28.827,49.966,-7.8699,0
13.01,-1.9059,-0.039576,0.29765,1.8654,0.074701,23.198,63.929,-7.9642,0
13.868,-2.1209,0.049855,0.36397,2.0945,0.078737,14.024,77.961,-8.0504,0
14.426,-1.9185,0.1576,0.47001,2.5019,0.08529,1.9623,92.024,-8.0881,0
14.389,-1.4652,0.1778,0.4594,2.5449,0.086272,-4.4331,106.05,-8.0914,0
14.022,-1.1631,0.15252,0.38991,2.3241,0.082852,-6.8881,120.04,-8.0833,0
13.537,-1.0509,0.13519,0.35108,2.1512,0.079949,-9.2032,134.02,-8.0822,0
13.013,-0.99295,0.1317,0.35209,2.1432,0.079799,-12.441,147.99,-8.0911,0
12.489,-0.93794,0.12095,0.36634,2.1953,0.080679,-15.808,161.97,-8.1029,0
12.003,-0.88451,0.094209,0.38154,2.2575,0.081719,-18.564,175.97,-8.1138,0
11.589,-0.83105,0.051552,0.3874,2.2862,0.082197,-20.568,189.97,-8.1222,0
11.265,-0.76406,0.0082083,0.38766,2.2899,0.082255,-21.872,203.99,-8.1253,0
11.007,-0.67945,-0.02967,0.38458,2.2777,0.08205,-22.112,218.02,-8.1211,0
10.78,-0.58642,-0.062759,0.37768,2.2533,0.08164,-20.85,232.04,-8.1108,0
10.576,-0.49392,-0.087264,0.36754,2.2177,0.081037,-18.157,246.06,-8.0992,0
10.495,-0.3891,-0.055454,0.35224,2.4709,0.10718,-14.457,260.07,-8.092,0
10.263,-0.30224,-0.0045054,0.30977,2.8354,0.155,-10.939,274.06,-8.0809,0
9.946,-0.21922,0.0024724,0.2638,2.8226,0.173,-8.3122,288.05,-8.0724,0
9.831,-0.155,-0.014216,0.23608,2.6249,0.16725,-5.4275,302.04,-8.0642,0
9.6986,-0.11688,-0.02923,0.2081,2.4202,0.16095,-2.7276,316.02,-8.058,0
9.6196,-0.11106,-0.035849,0.18923,2.2794,0.15655,-1.4532,330,-8.0547,0
9.9918,-0.20455,0.01075,0.20333,1.4667,0.066913,62.427,-20,6.0748,0
9.9846,-0.77059,0.041859,0.18101,1.3577,0.064546,62.223,-5.8987,6.0894,0
9.9771,-1.528,0.04296,0.28936,1.1688,0.03164,61.159,8.1714,6.122,0
10.434,-2.9915,0.050449,0.24079,1.0183,0.029684,55.257,22.193,6.1706,0
12.192,-3.6935,0.011674,0.37405,1.3237,0.033499,33.496,36.09,6.2034,0
13.506,-2.4782,0.046531,0.46646,1.6081,0.036675,17.561,49.885,6.2,0
12.607,-2.1625,0.15501,0.607,1.8472,0.039048,27.308,63.847,6.0213,0
10.52,-2.6876,0.31868,1.2019,2.9785,0.048755,16.513,77.918,5.9012,0
10.732,-2.2654,0.1179,0.9751,2.726,0.046846,-9.0598,92.071,5.8682,0
10.272,-1.0368,0.030879,0.59006,1.9444,0.040056,-15.167,106.1,5.8858,0
9.5165,-0.19357,-0.076825,0.46227,1.6244,0.036881,-11.365,120.06,5.9092,0
9.0384,-0.20226,-0.11568,0.45592,1.5907,0.036532,-10.612,134.02,5.9031,0
8.7441,-0.37346,-0.12158,0.44708,1.5744,0.036356,-12.747,147.98,5.8781,0
8.507,-0.47522,-0.11466,0.41532,1.503,0.035566,-15.112,161.95,5.8567,0
8.3253,-0.52468,-0.10237,0.37785,1.4112,0.034522,-17.238,175.94,5.8407,0
8.2134,-0.51109,-0.089444,0.34563,1.3261,0.033528,-19.21,189.95,5.8277,0
8.1667,-0.42957,-0.0784,0.32154,1.2595,0.032731,-20.919,203.98,5.8222,0
8.1328,-0.30157,-0.066814,0.30381,1.2094,0.032119,-21.468,218.02,5.829,0
8.0541,-0.16893,-0.057045,0.29123,1.1731,0.03167,-19.897,232.07,5.847,0
7.9297,-0.069016,-0.040218,0.28029,1.1424,0.031285,-16.493,246.09,5.8674,0
7.6845,-0.027648,0.019104,0.23137,1.5952,0.069423,-12.933,260.09,5.8783,0
7.5451,-0.013737,0.068579,0.20463,1.8859,0.11129,-9.5247,274.08,5.8902,0
7.4482,-0.022486,0.08492,0.18076,2.1475,0.15129,-7.2186,288.07,5.9038,0
7.3283,0.023662,0.070907,0.1595,1.9824,0.1458,-4.8212,302.05,5.9161,0
7.2005,0.059807,0.050616,0.13964,1.8236,0.14026,-2.4561,316.02,5.9251,0
7.126,0.065761,0.039124,0.12728,1.7245,0.1368,-1.3081,330,5.9299,0
9.9818,-0.21129,0.015802,0.20336,1.4671,0.066927,71.184,-20,20.058,0
9.8378,-0.8185,0.062112,0.18083,1.3566,0.064524,71.759,-5.8863,20.066,0
9.3093,-1.7642,0.084796,0.28403,1.1552,0.031468,75.575,8.2045,20.087,0
8.5973,-4.3448,0.082173,0.22382,0.97066,0.029037,75.913,22.251,20.188,0
-2.4684,2.0884,-0.2239,1.3414,2.9023,0.042935,-2.9005,49.699,20.296,0
-1.1365,-1.6126,-0.42453,1.9233,4.2056,0.05728,18.327,63.752,19.954,0
6.1302,-7.6695,0.29989,1.1343,2.9837,0.048701,3.2719,77.747,19.801,0
-1.0877,-0.9189,0.15954,0.39014,1.3618,0.033956,-15.664,92.26,19.776,0
-1.3855,-1.7649,-0.016629,0.52185,1.6985,0.037659,-18.172,106.15,19.891,0
0.3523,-0.87796,-0.27875,0.61221,1.9318,0.040028,-13.622,120.08,19.931,0
3.2794,0.061448,-0.40626,0.48308,1.6893,0.037625,-10.789,134.01,19.881,0
5.0039,0.15051,-0.27766,0.35126,1.3473,0.03387,-12.102,147.95,19.81,0
5.9031,0.060272,-0.19702,0.28171,1.1432,0.03136,-14.238,161.91,19.771,0
6.4513,-0.048631,-0.14665,0.25425,1.0565,0.030204,-16.257,175.9,19.752,0
6.8582,-0.11323,-0.10857,0.24321,1.0224,0.029731,-18.385,189.9,19.735,0
7.1992,-0.092523,-0.079655,0.23924,1.0095,0.029549,-20.46,203.95,19.726,0
7.4135,0.022177,-0.058613,0.23738,1.0042,0.029475,-21.154,218.04,19.737,0
7.4375,0.13481,-0.04878,0.23625,1.001,0.029431,-19.142,232.11,19.767,0
7.3371,0.17127,-0.028793,0.23187,0.98943,0.029275,-15.077,246.13,19.808,0
6.9446,0.10054,0.048111,0.1726,1.289,0.062952,-11.591,260.13,19.836,0
6.5598,0.089032,0.12839,0.13757,1.4063,0.096839,-8.38,274.11,19.858,0
6.2365,0.084788,0.13849,0.10851,1.5246,0.12974,-6.5247,288.08,19.88,0
6.0679,0.11984,0.12885,0.094906,1.4053,0.12489,-4.3801,302.06,19.897,0
5.8916,0.14925,0.1096,0.082165,1.2806,0.11952,-2.2565,316.03,19.91,0
5.7954,0.15542,0.096626,0.075896,1.2152,0.11663,-1.2208,330,19.917,0
9.9731,-0.17691,0.021424,0.20341,1.4658,0.066914,79.362,-20,34.034,0
9.7197,-0.66851,0.084796,0.18059,1.3564,0.064529,80.616,-5.9111,34.034,0
8.7319,-1.2454,0.1248,0.28031,1.1455,0.031346,88.604,8.1761,34.009,0
6.2109,-1.256,0.15861,0.24473,0.90809,0.024897,107.1,22.359,33.805,0
-1.7546,5.1933,-0.047258,1.1769,1.7368,0.019932,-5.8907,49.712,33.67,0
5.1344,-6.3469,-0.55295,1.6354,3.6376,0.053555,7.279,63.791,33.869,0
0.18974,-6.702,-0.91803,1.1629,1.9234,0.020945,69.789,77.736,34,0
-0.66485,0.11108,-0.0020925,0.28932,0.94481,0.022543,-17.301,92.07,33.977,0
-1.5093,-1.2133,-0.50516,0.3907,1.4144,0.034765,-16.866,106.11,34.069,0
0.25025,-1.3123,-0.3628,0.30805,1.2405,0.032781,-11.791,120.09,34.043,0
1.9864,-0.71844,-0.16959,0.21374,0.97102,0.029226,-10.565,133.98,33.848,0
3.4278,-0.41247,-0.035856,0.17033,0.81826,0.026977,-11.892,147.9,33.677,0
4.4118,-0.26418,0.01322,0.16929,0.79159,0.026504,-13.553,161.86,33.623,0
5.1842,-0.28239,0.013191,0.18301,0.82873,0.027,-14.998,175.82,33.618,0
5.917,-0.34766,0.0054189,0.19868,0.87801,0.027706,-17.063,189.82,33.603,0
6.6536,-0.32319,-0.00041003,0.21283,0.92302,0.028349,-19.968,203.87,33.59,0
7.1561,0.010077,-0.0066546,0.22388,0.95772,0.028836,-21.82,218.08,33.616,0
7.2435,0.30452,-0.02069,0.2313,0.98094,0.029156,-19.621,232.22,33.649,0
7.1183,0.38524,-0.021819,0.23511,0.99264,0.029318,-14.852,246.21,33.734,0
6.6991,0.28855,0.02466,0.18139,1.3233,0.063725,-10.913,260.18,33.79,0
