"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.044117,0.0096081,0.10086,1.4594,0.12732,49.177,-20,-50,0
10.073,-0.086875,0.021954,0.09692,1.4208,0.12573,48.824,-5.9747,-50,0
10.252,-0.16928,0.048125,0.089797,1.3498,0.12276,47.439,8.0399,-50,0
10.543,-0.2391,0.074991,0.083876,1.2906,0.12022,44.717,22.041,-50,0
10.914,-0.28431,0.098103,0.0785,1.2354,0.11779,40.842,36.029,-50,0
11.315,-0.30075,0.11366,0.074638,1.1925,0.11588,36.243,50.014,-50,0
11.708,-0.29963,0.11954,0.07132,1.1592,0.11435,31.465,64.003,-50,0
12.089,-0.29172,0.11722,0.067516,1.1181,0.11244,26.779,78.002,-50,0
12.461,-0.27133,0.11127,0.065338,1.0897,0.11109,22.097,92.007,-50,0
12.798,-0.23342,0.10381,0.064814,1.0814,0.11069,17.599,106.01,-50,0
13.067,-0.18463,0.092128,0.06509,1.0815,0.11069,13.8,120.01,-50,0
13.263,-0.13329,0.070574,0.066147,1.0897,0.11107,10.956,134.01,-50,0
13.403,-0.08801,0.039213,0.067992,1.1058,0.11183,8.9549,148,-50,0
13.515,-0.05762,0.0096263,0.07062,1.1301,0.11296,7.5295,162,-50,0
13.624,-0.043119,-0.012929,0.073944,1.162,0.11443,6.3525,176,-50,0
13.744,-0.037367,-0.029842,0.077742,1.1997,0.11613,5.1632,190,-50,0
13.872,-0.033732,-0.039233,0.081663,1.2401,0.11793,3.8902,204.01,-50,0
13.998,-0.029489,-0.041842,0.085356,1.2794,0.11966,2.6132,218.01,-50,0
14.111,-0.023688,-0.040599,0.088515,1.3145,0.12118,1.4491,232.02,-50,0
14.205,-0.016709,-0.037688,0.090962,1.3432,0.1224,0.51267,246.03,-50,0
14.276,-0.0041038,-0.033455,0.092591,1.3641,0.12329,-0.1409,260.03,-50,0
14.324,0.0114,-0.029574,0.093389,1.3766,0.12382,-0.48134,274.03,-50,0
14.353,0.017447,-0.027198,0.093507,1.3817,0.12404,-0.52973,288.03,-50,0
14.37,0.014255,-0.024838,0.093158,1.3813,0.12402,-0.40898,302.02,-50,0
14.374,0.010605,-0.019609,0.092503,1.377,0.12384,-0.26075,316.01,-50,0
14.372,0.0096787,-0.015777,0.092107,1.374,0.12371,-0.19853,330,-50,0
10.017,-0.091726,0.010764,0.10081,1.4589,0.1273,50.065,-20,-35.965,0
10.08,-0.17804,0.025127,0.096973,1.4211,0.12574,49.684,-5.9661,-35.96,0
10.27,-0.34574,0.055807,0.089775,1.3499,0.12276,48.206,8.0532,-35.952,0
10.583,-0.49017,0.087503,0.08342,1.2861,0.12002,45.282,22.052,-35.945,0
10.981,-0.58305,0.11512,0.07813,1.2306,0.11758,41.091,36.034,-35.946,0
11.404,-0.61471,0.13426,0.074086,1.1876,0.11565,36.187,50.009,-35.959,0
11.809,-0.61518,0.14228,0.070299,1.1481,0.11383,31.252,63.995,-35.983,0
12.205,-0.60558,0.14229,0.067508,1.115,0.11229,26.472,77.996,-36.009,0
12.598,-0.56843,0.1396,0.067767,1.111,0.1121,21.598,92.008,-36.026,0
12.955,-0.49815,0.13438,0.070232,1.1327,0.11308,16.917,106.02,-36.033,0
13.239,-0.40986,0.12227,0.073464,1.1617,0.11438,13.078,120.02,-36.034,0
13.441,-0.31287,0.097687,0.077086,1.1956,0.11587,10.293,134.01,-36.033,0
13.577,-0.22207,0.060894,0.080657,1.2302,0.11738,8.4159,148,-36.034,0
13.68,-0.16029,0.022863,0.084466,1.2647,0.11888,7.167,161.99,-36.037,0
13.783,-0.1326,-0.0078092,0.088818,1.3038,0.12056,6.1439,175.99,-36.04,0
13.902,-0.12388,-0.029095,0.094156,1.3522,0.1226,5.0283,189.99,-36.043,0
14.029,-0.11899,-0.040232,0.10021,1.4091,0.12495,3.7663,204,-36.043,0
14.152,-0.11146,-0.044014,0.10666,1.4706,0.12742,2.4753,218.01,-36.042,0
14.258,-0.099085,-0.042821,0.11278,1.5295,0.12973,1.2911,232.02,-36.04,0
14.343,-0.088832,-0.036544,0.11863,1.5856,0.13186,0.3332,246.03,-36.036,0
14.398,-0.075296,-0.028088,0.12317,1.6299,0.13352,-0.40979,260.04,-36.032,0
14.418,-0.051998,-0.021594,0.12561,1.6551,0.13445,-0.76751,274.04,-36.029,0
14.412,-0.03466,-0.016673,0.12742,1.6737,0.13512,-0.67354,288.03,-36.025,0
14.398,-0.030176,-0.012175,0.12853,1.6846,0.1355,-0.4338,302.02,-36.023,0
14.372,-0.030589,-0.004476,0.12993,1.6971,0.13591,-0.27574,316.01,-36.021,0
14.354,-0.0305,0.0011277,0.13092,1.7065,0.13623,-0.24095,330,-36.02,0
10.019,-0.18525,0.016036,0.10098,1.4616,0.12741,52.904,-20,-21.939,0
10.059,-0.32723,0.027456,0.12045,1.4222,0.11103,52.23,-5.948,-21.928,0
10.244,-0.68728,0.053981,0.12802,1.3159,0.092802,50.222,8.0822,-21.91,0
10.604,-0.98336,0.080077,0.11454,1.2291,0.090104,46.777,22.078,-21.895,0
11.104,-1.1721,0.10246,0.10453,1.1608,0.087894,41.568,36.043,-21.893,0
11.618,-1.2047,0.11871,0.096787,1.1073,0.086118,35.694,49.996,-21.917,0
12.045,-1.1709,0.12244,0.091938,1.0677,0.084634,30.539,63.973,-21.97,0
12.473,-1.1726,0.12161,0.09228,1.0584,0.084135,25.678,77.983,-22.024,0
12.954,-1.1162,0.12368,0.10097,1.1023,0.085468,20.003,92.011,-22.055,0
13.368,-0.97274,0.12148,0.11737,1.1955,0.088286,14.863,106.03,-22.064,0
13.67,-0.79581,0.11166,0.13459,1.2974,0.091254,11.104,120.03,-22.063,0
13.869,-0.58392,0.085138,0.14671,1.376,0.093616,8.4497,134.01,-22.062,0
13.965,-0.37759,0.045794,0.15463,1.4303,0.095331,6.8361,148,-22.065,0
14.007,-0.22822,0.0002971,0.16009,1.4659,0.096537,6.167,161.99,-22.072,0
14.069,-0.16669,-0.042007,0.16786,1.5103,0.097915,5.6751,175.98,-22.078,0
14.171,-0.15344,-0.065174,0.17992,1.5766,0.099838,4.7913,189.99,-22.083,0
14.288,-0.14975,-0.072883,0.19591,1.6652,0.1023,3.5449,204,-22.085,0
14.394,-0.14272,-0.070363,0.2141,1.7658,0.10502,2.1895,218.01,-22.083,0
14.468,-0.12902,-0.060289,0.23189,1.8638,0.1076,0.94421,232.03,-22.077,0
14.487,-0.11704,-0.037919,0.2473,1.9516,0.10995,0.024874,246.04,-22.069,0
14.256,-0.092279,0.023997,0.26323,2.3607,0.13971,-0.6567,260.05,-22.061,0
13.993,-0.076376,0.057869,0.26494,2.6973,0.16776,-1.4045,274.05,-22.055,0
13.882,-0.057997,0.060246,0.25721,2.6574,0.16687,-1.1775,288.04,-22.049,0
13.764,-0.052546,0.062259,0.24937,2.6132,0.1658,-0.66748,302.03,-22.044,0
13.637,-0.054641,0.064608,0.24104,2.565,0.16461,-0.40624,316.02,-22.04,0
13.566,-0.056645,0.06635,0.23524,2.532,0.16379,-0.38173,330,-22.038,0
10.001,-0.19029,0.01366,0.15206,1.4649,0.097209,56.991,-20,-7.9247,0
10.008,-0.51968,0.032972,0.16207,1.3887,0.080389,57.13,-5.9205,-7.9084,0
10.204,-1.2274,0.067824,0.16176,1.2588,0.062307,55.331,8.1214,-7.8844,0
10.691,-1.8977,0.097799,0.14148,1.1514,0.059774,50.603,22.12,-7.8562,0
11.506,-2.3101,0.13577,0.12696,1.0715,0.057809,42.116,36.057,-7.8408,0
12.279,-2.2376,0.16627,0.12516,1.0543,0.057376,33.161,49.966,-7.8699,0
12.645,-2.0524,0.14262,0.14564,1.1475,0.059633,28.575,63.929,-7.9642,0
13.054,-2.2067,0.11193,0.1867,1.3333,0.063804,24.345,77.961,-8.0504,0
13.631,-2.0425,0.095147,0.27683,1.7071,0.071293,15.359,92.024,-8.0881,0
13.836,-1.6779,0.1166,0.38778,2.1601,0.079505,9.601,106.05,-8.0914,0
13.773,-1.4375,0.22533,0.43281,2.3779,0.083335,6.4513,120.04,-8.0833,0
13.432,-1.1115,0.33133,0.42697,2.4028,0.083865,3.516,134.02,-8.0822,0
12.997,-0.61712,0.2643,0.39544,2.3046,0.082331,2.3682,147.99,-8.0911,0
12.793,-0.2371,0.12255,0.37376,2.19,0.080422,3.6868,161.97,-8.1029,0
12.797,-0.084451,0.0082275,0.39114,2.2297,0.081064,4.711,175.97,-8.1138,0
12.891,-0.040913,-0.043425,0.42523,2.3574,0.083192,4.2983,189.97,-8.1222,0
12.968,-0.032134,-0.052389,0.45648,2.4887,0.085366,3.0287,203.99,-8.1253,0
12.977,-0.033927,-0.032213,0.47042,2.5586,0.086539,1.5233,218.02,-8.1211,0
12.899,-0.03792,0.001358,0.47335,2.5774,0.086878,0.15946,232.04,-8.1108,0
12.743,-0.037644,0.033393,0.46929,2.5684,0.086761,-0.96741,246.06,-8.0992,0
12.533,-0.019394,0.079198,0.44253,2.7885,0.11274,-1.6997,260.07,-8.092,0
12.088,0.0145,0.10757,0.387,3.1914,0.16378,-1.5568,274.06,-8.0809,0
11.662,0.038538,0.10974,0.34631,3.3247,0.18687,-1.5566,288.05,-8.0724,0
11.496,0.029568,0.1035,0.31898,3.153,0.18231,-0.86905,302.04,-8.0642,0
11.323,0.014573,0.089859,0.29333,2.9834,0.17761,-0.46891,316.02,-8.058,0
11.229,0.0046914,0.080666,0.27604,2.8672,0.17435,-0.38969,330,-8.0547,0
9.9904,-0.18152,0.011705,0.2033,1.467,0.066919,64.69,-20,6.0748,0
9.9758,-0.768,0.047471,0.18105,1.3574,0.06454,64.559,-5.8987,6.0894,0
9.948,-1.608,0.045891,0.29038,1.1717,0.031677,63.737,8.1714,6.122,0
10.391,-3.0288,0.063911,0.23396,1.0144,0.02963,57.971,22.193,6.1706,0
11.916,-4.0597,0.060816,0.20568,0.92907,0.02845,40.054,36.09,6.2034,0
13.297,-3.3046,0.072489,0.24638,1.0323,0.029864,21.521,49.885,6.2,0
12.082,-1.8594,0.083749,0.30231,1.1813,0.031788,27.202,63.847,6.0213,0
10.459,-2.8173,0.26076,0.8145,2.2424,0.042348,29.254,77.918,5.9012,0
10.604,-2.4016,0.25067,1.3124,3.1996,0.05045,5.0511,92.071,5.8682,0
9.2076,-1.7422,0.22588,0.94835,2.6353,0.046134,3.4573,106.1,5.8858,0
4.5175,-0.75213,0.48861,0.57462,1.9082,0.039696,5.2704,120.06,5.9092,0
1.218,-1.8073,0.43956,0.53382,1.7232,0.037907,0.35681,134.02,5.9031,0
1.2498,-2.0839,0.049746,0.72431,2.1401,0.041911,-1.6471,147.98,5.8781,0
