"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.015,-0.043832,0.0082674,0.10091,1.4595,0.12732,47.486,-20,-50,0
10.075,-0.086344,0.019261,0.096999,1.4218,0.12577,47.127,-5.9747,-50,0
10.258,-0.16725,0.042531,0.08961,1.3491,0.12273,45.722,8.0399,-50,0
10.554,-0.23452,0.066034,0.083673,1.2872,0.12007,42.978,22.041,-50,0
10.93,-0.27831,0.085317,0.079214,1.2414,0.11807,39.104,36.029,-50,0
11.341,-0.29781,0.096755,0.074289,1.1932,0.1159,34.537,50.014,-50,0
11.763,-0.30488,0.098814,0.070434,1.1479,0.11383,29.731,64.003,-50,0
12.199,-0.3025,0.093327,0.069625,1.1316,0.11307,24.755,78.002,-50,0
12.635,-0.27662,0.08251,0.070664,1.1383,0.11338,19.483,92.007,-50,0
13.02,-0.22583,0.064449,0.073247,1.1603,0.11439,14.364,106.01,-50,0
13.318,-0.16915,0.037722,0.077085,1.1955,0.11599,10.182,120.01,-50,0
13.543,-0.12514,0.0068235,0.08163,1.2397,0.11796,7.2051,134.01,-50,0
13.737,-0.10041,-0.021923,0.086247,1.2867,0.12001,5.0774,148,-50,0
13.928,-0.089974,-0.040914,0.090341,1.3306,0.1219,3.2951,162,-50,0
14.124,-0.085958,-0.046522,0.093514,1.3669,0.12343,1.578,176,-50,0
14.323,-0.08353,-0.042949,0.095599,1.3932,0.12453,-0.10188,190,-50,0
14.513,-0.080317,-0.033157,0.096615,1.409,0.12517,-1.6435,204.01,-50,0
14.683,-0.076096,-0.018571,0.096707,1.4152,0.12542,-2.8893,218.01,-50,0
14.823,-0.071836,-0.001814,0.0961,1.4134,0.12535,-3.6919,232.02,-50,0
14.928,-0.069219,0.014593,0.095095,1.4063,0.12506,-3.9613,246.03,-50,0
14.997,-0.063282,0.028182,0.093916,1.3962,0.12464,-3.7271,260.03,-50,0
15.032,-0.055474,0.038855,0.092674,1.3846,0.12415,-3.075,274.03,-50,0
15.039,-0.05474,0.048914,0.091459,1.3726,0.12365,-2.1606,288.03,-50,0
15.028,-0.06,0.058502,0.090345,1.3612,0.12317,-1.2433,302.02,-50,0
14.996,-0.064209,0.071504,0.08931,1.3504,0.12272,-0.58863,316.01,-50,0
14.972,-0.064879,0.080094,0.088794,1.3449,0.12249,-0.36107,330,-50,0
10.018,-0.091326,0.0093577,0.10097,1.4603,0.12736,48.366,-20,-35.965,0
10.083,-0.1773,0.022293,0.096911,1.4212,0.12574,47.973,-5.9661,-35.96,0
10.278,-0.34167,0.04973,0.089515,1.3474,0.12266,46.465,8.0532,-35.952,0
10.594,-0.47893,0.077413,0.083676,1.2872,0.12007,43.514,22.052,-35.945,0
10.993,-0.56587,0.099917,0.078362,1.2341,0.11774,39.343,36.034,-35.946,0
11.423,-0.60317,0.11304,0.073454,1.1822,0.1154,34.519,50.009,-35.959,0
11.86,-0.62524,0.11589,0.07199,1.1555,0.11418,29.591,63.995,-35.983,0
12.319,-0.63457,0.1115,0.074784,1.1772,0.11514,24.465,77.996,-36.009,0
12.785,-0.58848,0.10102,0.080077,1.2274,0.11735,18.876,92.008,-36.026,0
13.192,-0.48267,0.080558,0.086868,1.2866,0.11988,13.502,106.02,-36.033,0
13.497,-0.36259,0.048467,0.094314,1.3548,0.12274,9.3373,120.02,-36.034,0
13.721,-0.27197,0.010958,0.10129,1.4208,0.12545,6.5682,134.01,-36.033,0
13.912,-0.22691,-0.021494,0.10717,1.4786,0.12779,4.6695,148,-36.034,0
14.104,-0.21486,-0.038925,0.1121,1.5294,0.12981,3.0246,161.99,-36.037,0
14.3,-0.21582,-0.03807,0.11617,1.5725,0.13149,1.3581,175.99,-36.04,0
14.491,-0.21924,-0.025898,0.11997,1.6116,0.13297,-0.30754,189.99,-36.043,0
14.667,-0.22174,-0.0076995,0.12344,1.6469,0.13427,-1.8454,204,-36.043,0
14.811,-0.22208,0.015071,0.12648,1.6778,0.13537,-3.0821,218.01,-36.042,0
14.913,-0.22054,0.039274,0.12882,1.7006,0.13616,-3.8574,232.02,-36.04,0
14.973,-0.2244,0.062629,0.13119,1.7213,0.13684,-4.0954,246.03,-36.036,0
14.988,-0.22365,0.080475,0.13353,1.7397,0.13743,-3.9191,260.04,-36.032,0
14.958,-0.21158,0.091441,0.1345,1.7487,0.13769,-3.2838,274.04,-36.029,0
14.898,-0.20283,0.099557,0.13437,1.7502,0.13769,-2.2588,288.03,-36.025,0
