"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.044228,0.0097025,0.10085,1.4593,0.12731,48.789,-20,-50,0
10.073,-0.086915,0.021943,0.096927,1.4208,0.12572,48.437,-5.9747,-50,0
10.251,-0.16897,0.047776,0.089843,1.3503,0.12278,47.057,8.0399,-50,0
10.542,-0.23826,0.074128,0.083819,1.2903,0.12021,44.348,22.041,-50,0
10.911,-0.28313,0.0967,0.078465,1.2346,0.11776,40.502,36.029,-50,0
11.311,-0.29988,0.11177,0.074775,1.1939,0.11594,35.946,50.014,-50,0
11.703,-0.3003,0.11731,0.071189,1.1581,0.1143,31.217,64.003,-50,0
12.089,-0.29452,0.1149,0.067416,1.1166,0.11236,26.55,78.002,-50,0
12.472,-0.275,0.10902,0.065662,1.0925,0.11123,21.823,92.007,-50,0
12.819,-0.23556,0.10144,0.065368,1.0866,0.11094,17.231,106.01,-50,0
13.095,-0.18357,0.088657,0.065938,1.0896,0.11108,13.333,120.01,-50,0
13.295,-0.12984,0.064535,0.06736,1.1013,0.11163,10.42,134.01,-50,0
13.438,-0.0851,0.03293,0.069626,1.1216,0.11257,8.3695,148,-50,0
13.556,-0.057456,0.0052448,0.072676,1.1503,0.11389,6.875,162,-50,0
13.677,-0.04541,-0.016206,0.076347,1.186,0.11552,5.5839,176,-50,0
13.809,-0.040785,-0.031731,0.080329,1.2262,0.11732,4.2593,190,-50,0
13.947,-0.037587,-0.039767,0.08423,1.2671,0.11912,2.8777,204.01,-50,0
14.081,-0.033513,-0.041916,0.087711,1.305,0.12077,1.5445,218.01,-50,0
14.199,-0.027744,-0.04122,0.090512,1.337,0.12214,0.37971,232.02,-50,0
14.296,-0.020931,-0.037688,0.092508,1.3615,0.12318,-0.50739,246.03,-50,0
14.37,-0.0082466,-0.032043,0.093653,1.3777,0.12386,-1.0722,260.03,-50,0
14.418,0.0077873,-0.027949,0.094014,1.3857,0.1242,-1.2944,274.03,-50,0
14.445,0.014314,-0.025078,0.093784,1.3868,0.12425,-1.1994,288.03,-50,0
14.457,0.011492,-0.021253,0.093185,1.3834,0.12411,-0.90569,302.02,-50,0
14.452,0.00841,-0.014448,0.092363,1.3769,0.12384,-0.54015,316.01,-50,0
14.445,0.0078648,-0.0098957,0.091898,1.373,0.12367,-0.35582,330,-50,0
10.017,-0.092012,0.010855,0.10081,1.4588,0.1273,49.678,-20,-35.965,0
10.08,-0.17825,0.025102,0.096996,1.4213,0.12575,49.297,-5.9661,-35.96,0
10.27,-0.34524,0.055367,0.089772,1.3501,0.12277,47.822,8.0532,-35.952,0
10.581,-0.48829,0.086423,0.083371,1.2856,0.12,44.911,22.052,-35.945,0
10.977,-0.57998,0.11336,0.078171,1.2308,0.11759,40.751,36.034,-35.946,0
11.398,-0.61198,0.13179,0.0741,1.1879,0.11567,35.898,50.009,-35.959,0
11.803,-0.61577,0.13926,0.070201,1.147,0.11378,31.023,63.995,-35.983,0
12.205,-0.61127,0.13924,0.067779,1.1165,0.11236,26.261,77.996,-36.009,0
12.61,-0.57722,0.13681,0.068668,1.1191,0.11247,21.323,92.008,-36.026,0
