"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
10.014,-0.042982,0.0086322,0.10083,1.4589,0.1273,59.301,-20,-50,0
10.071,-0.084193,0.019652,0.09701,1.4214,0.12575,58.955,-5.9747,-50,0
10.248,-0.16378,0.043168,0.089813,1.3509,0.12281,57.586,8.0399,-50,0
10.538,-0.23124,0.067459,0.083511,1.287,0.12007,54.892,22.041,-50,0
10.907,-0.27495,0.08805,0.078841,1.2366,0.11785,51.072,36.029,-50,0
11.308,-0.29299,0.10099,0.074941,1.1977,0.11611,46.557,50.014,-50,0
11.712,-0.29829,0.10439,0.070543,1.1513,0.11398,41.836,64.003,-50,0
12.124,-0.29708,0.10012,0.067891,1.1176,0.11242,37.019,78.002,-50,0
12.54,-0.27567,0.092043,0.067701,1.1115,0.11212,31.936,92.007,-50,0
12.912,-0.22775,0.07981,0.068759,1.1184,0.11244,26.926,106.01,-50,0
13.195,-0.16773,0.057407,0.07099,1.1374,0.11332,22.746,120.01,-50,0
13.396,-0.11443,0.028944,0.074244,1.1673,0.11469,19.723,134.01,-50,0
13.551,-0.079751,0.0015251,0.078237,1.2057,0.11643,17.574,148,-50,0
13.7,-0.063927,-0.024949,0.082548,1.2488,0.11834,15.768,162,-50,0
13.862,-0.058845,-0.039999,0.086692,1.2921,0.12023,13.887,176,-50,0
14.034,-0.057516,-0.041533,0.090252,1.3311,0.1219,11.824,190,-50,0
14.204,-0.056575,-0.037418,0.092962,1.3628,0.12324,9.6805,204.01,-50,0
14.362,-0.054505,-0.02914,0.094717,1.3855,0.12419,7.5928,218.01,-50,0
14.499,-0.050777,-0.01868,0.09554,1.3989,0.12475,5.6723,232.02,-50,0
14.61,-0.045649,-0.0076357,0.095595,1.404,0.12496,4.0176,246.03,-50,0
14.693,-0.031886,0.00029038,0.095068,1.4023,0.12489,2.6627,260.03,-50,0
14.75,-0.013855,0.0044213,0.094169,1.3957,0.12462,1.6585,274.03,-50,0
14.787,-0.0064424,0.00896,0.093101,1.3865,0.12424,1.0051,288.03,-50,0
14.818,-0.0099034,0.015391,0.092001,1.3763,0.12381,0.56516,302.02,-50,0
14.848,-0.017815,0.02648,0.090908,1.3658,0.12337,0.2044,316.01,-50,0
14.862,-0.021963,0.034015,0.090351,1.3603,0.12314,0.027598,330,-50,0
10.016,-0.089474,0.0097263,0.10091,1.4594,0.12732,60.168,-20,-35.965,0
10.078,-0.17242,0.022657,0.097024,1.4219,0.12577,59.792,-5.9661,-35.96,0
10.268,-0.3338,0.050385,0.089579,1.3487,0.12271,58.33,8.0532,-35.952,0
10.579,-0.47243,0.079184,0.083365,1.2846,0.11996,55.439,22.052,-35.945,0
10.973,-0.5607,0.10374,0.078463,1.2337,0.11772,51.321,36.034,-35.946,0
11.392,-0.59499,0.11918,0.073804,1.1861,0.11558,46.546,50.009,-35.959,0
11.809,-0.61119,0.12396,0.070269,1.1453,0.11371,41.714,63.995,-35.983,0
12.241,-0.62106,0.12204,0.070519,1.1394,0.11343,36.78,77.996,-36.009,0
12.687,-0.58756,0.11667,0.073941,1.1698,0.11479,31.403,92.008,-36.026,0
13.083,-0.49666,0.10418,0.07879,1.2127,0.11668,26.117,106.02,-36.033,0
13.378,-0.37729,0.078203,0.084558,1.2642,0.1189,21.902,120.02,-36.034,0
13.576,-0.26758,0.042112,0.090456,1.3205,0.12128,19.045,134.01,-36.033,0
13.723,-0.19645,0.0056875,0.096173,1.3735,0.1235,17.141,148,-36.034,0
13.868,-0.16777,-0.024509,0.10186,1.4272,0.1257,15.542,161.99,-36.037,0
14.029,-0.16395,-0.040156,0.10731,1.4805,0.12785,13.766,175.99,-36.04,0
